schema,pos rule,pos keywords,pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis
工资发放时间,识别,,"劳动合同应具备条款，用人单位不得擅自变更；
劳动报酬应至少每月支付一次，用人单位未及时足额支付劳动报酬的，劳动者可以解除劳动合同，用人单位应当向劳动者支付经济补偿。",未识别,,劳动合同应具备条款，应在劳动合同中写明,中,
加班,关键词匹配,单双休|六天|单休|加班|延长工作时间|补休,"用人单位安排加班的，应当按照国家有关规定向劳动者支付加班费或安排调休。
工作日加班，用人单位应支付不低于150%的工资。
休息日加班，用人单位应支付不低于200%的工资。
法定节假日加班，用人单位应支付不低于300%的工资。",,,,高,《劳动合同法》第三十一条用人单位应当严格执行劳动定额标准，不得强迫或者变相强迫劳动者加班。用人单位安排加班的，应当按照国家有关规定向劳动者支付加班费。
社会保险,识别,,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。为职工缴纳社会保险是用人单位的法定义务，用人单位未依法为劳动者缴纳社会保险，劳动者可以解除劳动合同，并要求用人单位支付经济补偿。,未识别,,社会保险条款是劳动合同的必备条款，用人单位应当依法为劳动者缴纳社会保险，同时，对于未缴社保的用人单位，劳动者可以解除劳动合同并主张补缴社保和赔偿金。需要注意的是，一旦发生劳动争议，即使双方签订了《自愿放弃社保承诺书》也会被认定为无效，不免除用人单位缴纳社保的义务。,高,《劳动法》  第七十二条社会保险基金按照保险类型确定资金来源，逐步实行社会统筹。用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。
合同变更,识别,,"用人单位与劳动者变更劳动合同约定的内容，需与劳动者协商一致，单方面的变更可能会引起劳动争议。
",,,,高,"《劳动合同法》用人单位与劳动者协商一致，可以变更劳动合同约定的内容。变更劳动合同，应当采用书面形式。

变更后的劳动合同文本由用人单位和劳动者各执一份。"
劳动者解除,识别,,用人单位与劳动者解除劳动合同须符合法律规定，否则将可能面临违法解除劳动合同后果。,,,,高,"《劳动合同法》第三十八条 用人单位有下列情形之一的，劳动者可以解除劳动合同：

(一)未按照劳动合同约定提供劳动保护或者劳动条件的；

(二)未及时足额支付劳动报酬的；

(三)未依法为劳动者缴纳社会保险费的；

(四)用人单位的规章制度违反法律、法规的规定，损害劳动者权益的；

(五)因本法第二十六条第一款规定的情形致使劳动合同无效的；

(六)法律、行政法规规定劳动者可以解除劳动合同的其他情形。

用人单位以暴力、威胁或者非法限制人身自由的手段强迫劳动者劳动的，或者用人单位违章指挥、强令冒险作业危及劳动者人身安全的，劳动者可以立即解除劳动合同，不需事先告知用人单位。"
用人单位解除,识别,,用人单位与劳动者解除劳动合同须符合法律规定，否则将可能面临违法解除劳动合同后果。,未识别,,"职业病危害作业.*（未|没有）.*健康检查|疑似职业病.*(诊断|医学观察期).*解除
患.*职业病|因工负伤.*丧失.*劳动能力.*解除(患病|非因工负伤).*医疗期.*解除（孕期|产期|哺乳期）.*解除",高,"《劳动合同法》第三十九条劳动者有下列情形之一的，用人单位可以解除劳动合同：
(一)在试用期间被证明不符合录用条件的；
(二)严重违反用人单位的规章制度的；
(三)严重失职，营私舞弊，给用人单位造成重大损害的；
(四)劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；
(五)因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；
(六)被依法追究刑事责任的。"
禁止解除,关键词匹配,"职业病危害作业.*（未|没有）.*健康检查|疑似职业病.*(诊断|医学观察期).*解除
患.*职业病|因工负伤.*丧失.*劳动能力.*解除(患病|非因工负伤).*医疗期.*解除（孕期|产期|哺乳期）.*解除",用人单位违反规定解除或者终止劳动合同，劳动者要求继续履行劳动合同，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当依照本法第八十七条规定支付赔偿金。,未匹配,,合同中未识别到有法律规定禁止与劳动者解除合同的情形，符合法律规定。,高,"《劳动合同法》第四十二条 劳动者有下列情形之一的，用人单位不得依照本法第四十条、第四十一条的规定解除劳动合同：

(一)从事接触职业病危害作业的劳动者未进行离岗前职业健康检查，或者疑似职业病病人在诊断或者医学观察期间的；

(二)在本单位患职业病或者因工负伤并被确认丧失或者部分丧失劳动能力的；

(三)患病或者非因工负伤，在规定的医疗期内的；

(四)女职工在孕期、产期、哺乳期的；

(五)在本单位连续工作满十五年，且距法定退休年龄不足五年的；

(六)法律、行政法规规定的其他情形。"
扣押、押金,关键词匹配,押金|扣押|抵押|定金,企业不得以各种形式向劳动者收取定金、保证金或扣押劳动者的身份证件,未匹配,,未识别到有收取劳动者押金、保证金，扣押劳动者的身份证件的信息，符合法律规定。,高,"《劳动合同法》第八十四条 用人单位违反本法规定，扣押劳动者居民身份证等证件的，由劳动行政部门责令限期退还劳动者本人，并依照有关法律规定给予处罚。
用人单位违反本法规定，以担保或者其他名义向劳动者收取财物的，由劳动行政部门责令限期退还劳动者本人，并以每人五百元以上二千元以下的标准处以罚款；给劳动者造成损害的，应当承担赔偿责任。
劳动者依法解除或者终止劳动合同，用人单位扣押劳动者档案或者其他物品的，依照前款规定处罚。"
竞业限制补偿,关键词匹配,(解除.*合同|离职|终止.*合同).*(同类业务|相同业务|竞争关系|兼职),竞业禁止补偿金的标准：1、一般为劳动合同解除或者终止前十二个月平均工资的30%；2、月平均工资的30%低于劳动合同履行地最低工资标准的，按照劳动合同履行地最低工资标准支付。,关联识别,识别到竞业限制期限，未识别到竞业限制补偿,劳动合同中对劳动者作出竞业限制的，必须同时写明补偿金额数额和发放办法，否则该条款或竞业协议无效,中,"《劳动合同法》第二十三条 用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。
对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。"
竞业限制期限,识别,竞业限制.*年,在解除或者终止劳动合同后，前款规定的人员到与本单位生产或者经营同类产品、从事同类业务的有竞争关系的其他用人单位，或者自己开业生产或者经营同类产品、从事同类业务的竞业限制期限，不得超过二年。,,,,中,"《劳动合同法》第二十四条 竞业限制的人员限于用人单位的高级管理人员、高级技术人员和其他负有保密义务的人员。竞业限制的范围、地域、期限由用人单位与劳动者约定，竞业限制的约定不得违反法律、法规的规定。
在解除或者终止劳动合同后，前款规定的人员到与本单位生产或者经营同类产品、从事同类业务的有竞争关系的其他用人单位，或者自己开业生产或者经营同类产品、从事同类业务的竞业限制期限，不得超过二年。"
服务期违约,关键词匹配,培训|服务期,除服务期、竞业限制规定的情形外，用人单位不得与劳动者约定由劳动者承担违约金。,,,,高,"《劳动合同法》第二十二条 用人单位为劳动者提供专项培训费用，对其进行专业技术培训的，可以与该劳动者订立协议，约定服务期。
劳动者违反服务期约定的，应当按照约定向用人单位支付违约金。违约金的数额不得超过用人单位提供的培训费用。用人单位要求劳动者支付的违约金不得超过服务期尚未履行部分所应分摊的培训费用。
用人单位与劳动者约定服务期的，不影响按照正常的工资调整机制提高劳动者在服务期期间的劳动报酬。"
竞业限制违约,识别,,除服务期、竞业限制规定的情形外，用人单位不得与劳动者约定由劳动者承担违约金。,,,,高,"《劳动合同法》第二十三条 用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。
对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。"
争议解决,关键词匹配,争议.*(解决|仲裁|起诉|诉讼),发生劳动争议后，必须先经过劳动争议仲裁委员会仲裁程序，对仲裁不服的，再向法院起诉。,,,,中,《劳动法》第七十九条 劳动争议发生后，当事人可以向本单位劳动争议调解委员会申请调解;调解不成，当事人一方要求仲裁的，可以向劳动争议仲裁委员会申请仲裁。当事人一方也可以直接向劳动争议仲裁委员会申请仲裁。对仲裁裁决不服的，可以向人民法院提出诉讼。
生效条款,识别,,劳动合同签字盖章后生效，劳动关系自用工之日起建立。,,,,中,"《劳动合同法》第十条 劳动合同由用人单位与劳动者协商一致，并经用人单位与劳动者在劳动合同文本上签字或者盖章生效。
劳动合同文本由用人单位和劳动者各执一份。"
未尽事宜条款,识别,,合同无法详尽一切内容，对合同中未写明的其他未尽事宜，可签订补充协议进行约定,,,,低,
附件条款,识别,,保密协议、培训协议等可作为劳动合同的附件，与劳动合同一起签署后妥善保存。,,,,低,
