schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,
借款期限,识别,,,,未识别,,借款期限条款缺失或约定不明确，建议补充完整。借款期限是《借条》的必备条款，将有利于利息的计算、债权的安全实现以及借贷双方争议的避免。没有未约定还款期限的，出借人可以随时要求借款人还款。已约定借款期限的，需注意诉讼时效，其起算点为借款期限届满之日起三年。,高,【《中华人民共和国民法典》第六百七十四条】 借款人应当按照约定的期限支付利息。对支付利息的期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定，借款期间不满一年的，应当在返还借款时一并支付;借款期间一年以上的，应当在每届满一年时支付，剩余期间不满一年的，应当在返还借款时一并支付。,借款期限应根据借款种类、借款性质、借款用途明确约定，且应详细、具体、全面，以确保借款的顺利履行，防止产生纠纷。,,
借款利率,民间借贷利率审核,,,,未识别,,借款利率条款缺失或约定不明确，建议补充完整。根据法律规定，借款利率的约定不得超过合同成立时一年期贷款市场报价利率的四倍。“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。,中,"【《中华人民共和国民法典》第六百八十条】 借款的利率不得违反国家有关规定。借款合同对支付利息没有约定的,视为没有利息。
借款合同对支付利息约定不明确,当事人不能达成补充协议的,按照当地或者当事人的交易方式、交易习惯、市场利率等因素确定利息;自然人之间借款的,视为没有利息。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十五条】 出借人请求借款人按照合同约定利率支付利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。前款所称“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。",民间借贷如没有明确约定借款利率，将被认定为无息借款。,约定的利率过高，建议核实。双方约定的利率不得超过合同成立时一年期贷款市场报价利率的四倍。,
还款日期,识别,,,,未识别,,还款日期条款缺失或约定不明确，建议补充完整。还款日期是《借款合同》的必备条款，建议明确约定到年月日，以便有利于利息的计算和债权的安全实现，也有利于避免借贷双方发生争议。没有约定还款期限的借条，出借人可以随时要求借款人还款。,高,"【《中华人民共和国民法典》第六百七十五条】 借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确,依据本法第五百一十条的规定仍不能确定的,借款人可以随时返还;贷款人可以催告借款人在合理期限内返还。",没有约定还款期限的借条，出借人可以随时要求借款人还款。,,
逾期利率,民间借贷逾期利率审核,,,,未识别,,逾期利率条款缺失或约定不明确，建议补充完整。建议明确约定逾期利率以督促借款人按期还款。借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。,中,"【《中华人民共和国民法典》第676条】 借款人未按照约定的期限返还借款的，应当按照约定或者国家有关规定支付逾期利息。
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十八条　借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。
　　未约定逾期利率或者约定不明的，人民法院可以区分不同情况处理：
　　（一）既未约定借期内利率，也未约定逾期利率，出借人主张借款人自逾期还款之日起参照当时一年期贷款市场报价利率标准计算的利息承担逾期还款违约责任的，人民法院应予支持；
　　（二）约定了借期内利率但是未约定逾期利率，出借人主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的，人民法院应予支持。",逾期利息是由逾期贷款/借款造成的罚利息，指贷/借款人不按照合同的约定归还借款的超期罚息。,约定的逾期利率过高，建议核实。双方约定的逾期利率不得超过合同成立时一年期贷款市场报价利率的四倍。,
预先扣除利息,违法,,预先扣除利息即砍头息为法律明确禁止，建议删除。,预先扣除利息即砍头息为法律明确禁止，如合同中存在该条款，建议删除。,未识别，不作审核,,,高,"【《中华人民共和国民法典》第六百七十条】 借款的利息不得预先在本金中扣除。利息预先在本金中扣除的，应当按照实际借款数额返还借款并计算利息。
|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十六条】　借据、收据、欠条等债权凭证载明的借款金额，一般认定为本金。预先在本金中扣除利息的，人民法院应当将实际出借的金额认定为本金。",,,
违约责任,识别,违约|违约解除|逾期|违约金|赔偿损失|诉讼费|律师费|保全费,,,未识别,,违约责任条款缺失或约定不明确，建议补充完整。违约责任条款可提高违约方违约成本，达到有效督促债务人还款的目的，并可以在追索借款的同时，得到债务人资金占用期间的利息补偿，建议补充完整。出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。,中,【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十九条】　出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。,违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,,
保证责任,识别,一般保证|连带责任保证,当事人关于保证约定，应确定是一般保证还是连带责任保证：一般保证的保证人在借款纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，法律另有规定的除外；连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。,,未识别,,保证责任条款缺失或约定不明确，建议补充完整。建议在借款合同中明确约定担保方式条款，也可以签订相应的担保合同。,中,【《中华人民共和国民法典》第六百八十六条】 保证的方式包括一般保证和连带责任保证。当事人在保证合同中对保证方式没有约定或者约定不明确的，按照一般保证承担保证责任|【《中华人民共和国民法典》第六百八十七条】 当事人在保证合同中约定，债务人不能履行债务时，由保证人承担保证责任的，为一般保证。一般保证的保证人在主合同纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，但是有下列情形之一的除外:(一)债务人下落不明，且无财产可供执行;(二)人民法院已经受理债务人破产案件;(三)债权人有证据证明债务人的财产不足以履行全部债务或者丧失履行债务能力;(四)保证人书面表示放弃本款规定的权利。,担保条款可以督促债务人履行债务，保障债权的实现，且应明确约定保证方式，如未约定或约定不明确的，按一般保证承担保证责任。,,
争议解决,识别,,,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
如发生争议，双方应友好协商解决。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。",中,,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。,,
通知与送达,识别,,,,未识别,,"通知与送达条款是为了方便签约各方互相发送通知而写明签约方的地址、邮箱等送达信息，目的在便于发送通知的基础上,进一步确保该通知的发送是有效的送达,避免纠纷发生时因送达存在瑕疵而被认定为未及时、未效而承担不利后果。因此建议补充完整。",低,,,,
合同生效,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
民间借贷合同自借款交付时生效。",中,【《中华人民共和国民法典》第四百九十条】当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。|【《中华人民共和国民法典》第五百零二条】依法成立的合同，自成立时生效，但是法律另有规定或者当事人另有约定的除外。依照法律、行政法规的规定，合同应当办理批准等手续的，依照其规定。未办理批准等手续影响合同生效的，不影响合同中履行报批等义务条款以及相关条款的效力。应当办理申请批准等手续的当事人未履行义务的，对方可以请求其承担违反该义务的责任。依照法律、行政法规的规定，合同的变更、转让、解除等情形应当办理批准等手续的，适用前款规定。,,,
未尽事宜,识别,,,,未识别，不作审核,,,低,,,,
签字或盖章,识别,,,,未识别,,"一方为自然人的，其签名须与身份证所载姓名一致，且需附身份证号码，并应附上借款人签名捺印的身份证复印件。如借款人已婚，建议由夫妻双方共同签字，以确认为夫妻共同债务，避免争议。
应审查公章真伪和来源，需要对方出示公司的授权性文件，警惕无权代理行为的发生，给另一方造成损失。",中,,签字或盖章行为系出借人与借款人对借款合同内容的确认，应由本人签字、捺印或盖章。,,
签订日期,识别,,,,未识别,,签订日期缺失，建议补充完整。,中,"《中华人民共和国民法典》【第五百零二条】 依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",签订日期为合同成立日期。,,
合同附件,识别,,,,未识别，不作审核,,,中,,借款合同通常需要债务人提供其身份证件的复印件作为合同附件，便于后续的纠纷解决。,,
