schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice
用人单位解除,识别,,,,未识别,,"用人单位解除条款缺失或约定不明确，建议补充完整。
用人单位单方辞退劳动者分为劳动者过失性辞退以及无过失性辞退，无过失性辞退劳动者的，应提前三十日以书面形式通知劳动者本人或者额外支付劳动者一个月工资后，可以解除劳动合同，否则可能构成违法解除劳动合同，需向劳动者支付经济赔偿金。",高,《中华人民共和国劳动合同法》【第三十六条】用人单位与劳动者协商一致，可以解除劳动合同。|《中华人民共和国劳动合同法》【第三十九条】劳动者有下列情形之一的，用人单位可以解除劳动合同：(一)在试用期间被证明不符合录用条件的；(二)严重违反用人单位的规章制度的；(三)严重失职，营私舞弊，给用人单位造成重大损害的；(四)劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；(五)因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；(六)被依法追究刑事责任的。|《中华人民共和国劳动合同法》【第四十条】有下列情形之一的，用人单位提前三十日以书面形式通知劳动者本人或者额外支付劳动者一个月工资后，可以解除劳动合同：（一）劳动者患病或者非因工负伤，在规定的医疗期满后不能从事原工作，也不能从事由用人单位另行安排的工作的；（二）劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的；（三）劳动合同订立时所依据的客观情况发生重大变化，致使劳动合同无法履行，经用人单位与劳动者协商，未能就变更劳动合同内容达成协议的。,用人单位不得约定违反法律规定单方解除或终止与劳动者的劳动合同的情形，但有权约定按照法律规定或与劳动者协商一致解除劳动合同。,
禁止解除,识别,职业病危害作业.*（未|没有）.*健康检查|疑似职业病.*(诊断|医学观察期).*解除|患.*职业病|因工负伤.*丧失.*劳动能力.*解除(患病|非因工负伤).*医疗期.*解除（孕期|产期|哺乳期）.*解除,,,未识别,,用人单位违反法律规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当向劳动者支付赔偿金。,中,《中华人民共和国劳动合同法》【第四十二条】劳动者有下列情形之一的，用人单位不得依照本法第四十条、第四十一条的规定解除劳动合同：(一)从事接触职业病危害作业的劳动者未进行离岗前职业健康检查，或者疑似职业病病人在诊断或者医学观察期间的；(二)在本单位患职业病或者因工负伤并被确认丧失或者部分丧失劳动能力的；(三)患病或者非因工负伤，在规定的医疗期内的；(四)女职工在孕期、产期、哺乳期的；(五)在本单位连续工作满十五年，且距法定退休年龄不足五年的；(六)法律、行政法规规定的其他情形。,用人单位不得约定在法律规定的禁止解除或终止劳动合同的期间内单方解除劳动合同。,
扣押、押金,违法,押金|扣押|抵押|定金,违反法律规定，建议删除。,,未识别，不作审核,,,高,《中华人民共和国劳动合同法》【第八十四条】用人单位违反本法规定，扣押劳动者居民身份证等证件的，由劳动行政部门责令限期退还劳动者本人，并依照有关法律规定给予处罚。用人单位违反本法规定，以担保或者其他名义向劳动者收取财物的，由劳动行政部门责令限期退还劳动者本人，并以每人五百元以上二千元以下的标准处以罚款；给劳动者造成损害的，应当承担赔偿责任。劳动者依法解除或者终止劳动合同，用人单位扣押劳动者档案或者其他物品的，依照前款规定处罚。,企业不得以各种形式向劳动者收取定金、保证金或扣押劳动者的身份证件。,
竞业限制期限,竞业限制期限审核,竞业限制.*年,,,未识别，不作审核,,,高,《中华人民共和国劳动合同法》【第二十四条】竞业限制的人员限于用人单位的高级管理人员、高级技术人员和其他负有保密义务的人员。竞业限制的范围、地域、期限由用人单位与劳动者约定，竞业限制的约定不得违反法律、法规的规定。在解除或者终止劳动合同后，前款规定的人员到与本单位生产或者经营同类产品、从事同类业务的有竞争关系的其他用人单位，或者自己开业生产或者经营同类产品、从事同类业务的竞业限制期限，不得超过二年。,竞业限制期限，不得超过二年，自解除或者终止劳动合同起算。,竞业限制期限过长，建议核实。竞业限制期限不得超过两年。
竞业限制补偿,识别,(解除.*合同|离职|终止.*合同).*(同类业务|相同业务|竞争关系|兼职),竞业限制补偿金一般为劳动合同解除或者终止前十二个月平均工资的30%，若月平均工资的30%低于劳动合同履行地最低工资标准的，按照劳动合同履行地最低工资标准支付。竞业限制期限，不得超过二年。,用人单位约定竞业限制补偿条款的，因用人单位原因不按协议约定支付经济补偿金，经劳动者要求仍不支付的，劳动者可以解除竞业限制协议。,未识别，不作审核,,,高,《中华人民共和国劳动合同法》【第二十三条】用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。,竞业限制补偿金以劳动者履行负有保守用人单位商业秘密义务为前提条件，支付期限、标准可以由双方协商确定，但不得违反法律的强制性规定。,
竞业限制违约,识别,,除服务期、竞业限制规定的情形外，用人单位不得与劳动者约定由劳动者承担违约金。,,未识别，不作审核,,,高,《中华人民共和国劳动合同法》【第二十三条】用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。,用人单位与劳动者约定竞业限制条款的，在劳动者离职后超过三个月，用人单位仍未支付竞业限制补偿金的，劳动者有权单方解除竞业限制协议。,
服务期违约,识别,培训|服务期,除服务期、竞业限制规定的情形外，用人单位不得与劳动者约定由劳动者承担违约金。,,未识别，不作审核,,,高,《中华人民共和国劳动合同法》【第二十二条】用人单位为劳动者提供专项培训费用，对其进行专业技术培训的，可以与该劳动者订立协议，约定服务期。劳动者违反服务期约定的，应当按照约定向用人单位支付违约金。违约金的数额不得超过用人单位提供的培训费用。用人单位要求劳动者支付的违约金不得超过服务期尚未履行部分所应分摊的培训费用。用人单位与劳动者约定服务期的，不影响按照正常的工资调整机制提高劳动者在服务期期间的劳动报酬。,用人单位为劳动者提供专项培训费用，对其进行专业技术培训的，可以与该劳动者订立协议，约定服务期。服务期违约金数额不得超过用人单位提供的培训费用。,
争议解决,识别,争议|解决|仲裁|起诉|诉讼,,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
如发生争议，双方应友好协商解决，必须先经过劳动争议仲裁委员会仲裁程序，对仲裁不服的，再向法院起诉。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。",中,《中华人民共和国劳动法》【第七十九条】劳动争议发生后，当事人可以向本单位劳动争议调解委员会申请调解;调解不成，当事人一方要求仲裁的，可以向劳动争议仲裁委员会申请仲裁。当事人一方也可以直接向劳动争议仲裁委员会申请仲裁。对仲裁裁决不服的，可以向人民法院提出诉讼。,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。,
生效条款,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
一般合同自双方签字或盖章后生效。",中,《中华人民共和国劳动合同法》【第十条】劳动合同由用人单位与劳动者协商一致，并经用人单位与劳动者在劳动合同文本上签字或者盖章生效。劳动合同文本由用人单位和劳动者各执一份。,劳动合同自双方签字或盖章后生效，劳动关系自用工之日起建立。,
未尽事宜条款,识别,,,,未识别，不作审核,,,低,,,
附件条款,识别,,,,未识别，不作审核,,,低,,,
签订日期,识别,,,,未识别,,签订日期缺失，建议补充完整。,中,"《中华人民共和国民法典》【第五百零二条】 依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",签订日期为合同成立日期。,
