schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice
借款期限,日期关联【还款日期-借款日期】,（自|从）.*起（至|到）.*止|（借款期限|期限）.*（年|月）|分.*（还清|偿还）,没有约定还款期限的借条，出借人可以随时要求借款人还款。,没有约定还款期限的借条，出借人可以随时要求借款人还款。借款人可以提前偿还借款，但是当事人另有约定的除外。借款人提前偿还借款可以主张按照实际借款期限计算利息。,未识别,,缺少借款期限，建议添加。借款期限是《借条》的必备条款，应写明借款期限，有利于利息的计算和债权的安全实现，也有利于避免借贷双方发生不必要的纠纷。,高,"【《中华人民共和国民法典》第六百七十四条】借款人应当按照约定的期限支付利息。对支付利息的期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定，借款期间不满一年的，应当在返还借款时一并支付;借款期间一年以上的，应当在每届满一年时支付，剩余期间不满一年的，应当在返还借款时一并支付。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第三十条】借款人可以提前偿还借款，但是当事人另有约定的除外。
借款人提前偿还借款并主张按照实际借款期限计算利息的，人民法院应予支持。",借条应当约定好借款期限，没有约定还款期限的借条，出借人可以随时要求借款人还款。,还款日期、借款日期、还款期限校验错误，建议核实。
借款日期,日期关联【还款日期-借款期限】,借款日|借款日期,,,未识别,,缺少借款日期，建议添加。,高,"【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第九条】自然人之间的借款合同具有下列情形之一的，可以视为合同成立：
　　（一）以现金支付的，自借款人收到借款时；
　　（二）以银行转账、网上电子汇款等形式支付的，自资金到达借款人账户时；
　　（三）以票据交付的，自借款人依法取得票据权利时；
　　（四）出借人将特定资金账户支配权授权给借款人的，自借款人取得对该账户实际支配权时；
　　（五）出借人以与借款人约定的其他方式提供借款并实际履行完成时。",借款日期一般为实际支付借款的日期。,还款日期、借款日期、还款期限校验错误，建议核实。
借款利率,利率审核,利息|利率|年利率|月利息,,,未识别,,缺少借款利率，建议添加。,高,"【《中华人民共和国民法典》第六百八十条】禁止高利放贷，借款的利率不得违反国家有关规定。借款合同对支付利息没有约定的,视为没有利息。
借款合同对支付利息约定不明确,当事人不能达成补充协议的,按照当地或者当事人的交易方式、交易习惯、市场利率等因素确定利息;自然人之间借款的,视为没有利息。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十五条】出借人请求借款人按照合同约定利率支付利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。前款所称“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。",约定利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。人民法院在民间借贷纠纷案件审理过程中，对于各种以“利息”“违约金”“服务费”“中介费”“保证金”“延期费”等突破或变相突破法定利率红线的，依法不予支持。,约定的利率过高。约定利率的，双方约定的利率不超过合同成立时一年期贷款市场报价利率四倍的。现行民间借贷利率不得超过lpr的4倍，即14.8%，月利率=年利率/12，日利率=年利率/360，月利率/30。一分=1%，一厘=0.1%，若待审核文本中已写明利率，需计算年利率是否超过14.8%。
还款日期,日期关联【借款日期＋借款期限】,还款日期|还款日|（于|到）.*（还清|偿还|归还）|（到|至）.*前,,,未识别,,缺少还款日期，建议添加。,高,"【《中华人民共和国民法典》第六百七十五条 】借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确,依据本法第五百一十条的规定仍不能确定的,借款人可以随时返还;贷款人可以催告借款人在合理期限内返还。",没有约定还款期限的借条，出借人可以随时要求借款人还款。,还款日期、借款日期、还款期限校验错误，建议核实。
逾期利率,逾期利率审核,"逾期利率|逾期利息
",借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。|约定了借期内利率但是未约定逾期利率，出借人可以主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的。|既未约定借期内利率，也未约定逾期利率，出借人可以主张借款人自逾期还款之日起承担逾期还款违约责任。,借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。|约定了借期内利率但是未约定逾期利率，借款人注意，出借人可以主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的。|既未约定借期内利率，也未约定逾期利率，借款人注意，出借人可以主张借款人自逾期还款之日起承担逾期还款违约责任。,未识别，不做审核,,,中,"【《中华人民共和国民法典》第六百七十六条 】借款人未按照约定的期限返还借款的，应当按照约定或者国家有关规定支付逾期利息。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》】第二十八条　借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。
未约定逾期利率或者约定不明的，人民法院可以区分不同情况处理：
（一）既未约定借期内利率，也未约定逾期利率，出借人主张借款人自逾期还款之日起参照当时一年期贷款市场报价利率标准计算的利息承担逾期还款违约责任的，人民法院应予支持；
（二）约定了借期内利率但是未约定逾期利率，出借人主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的，人民法院应予支持。",,约定的逾期利率过高。约定逾期利率的，不超过合同成立时一年期贷款市场报价利率四倍。
预先扣除利息,识别,,,,未识别,,预先扣除利息即砍头息为法律明确禁止，在您的借条中未识别到预先扣除利息有关字样，合法合规。,高,【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十六条】借据、收据、欠条等债权凭证载明的借款金额，一般认定为本金。预先在本金中扣除利息的，人民法院应当将实际出借的金额认定为本金。|【《中华人民共和国民法典》第六百七十条】借款的利息不得预先在本金中扣除。利息预先在本金中扣除的，应当按照实际借款数额返还借款并计算利息。,借据、收据、欠条等债权凭证载明的借款金额，一般认定为本金。预先在本金中扣除利息的，人民法院应当将实际出借的金额认定为本金。,
违约责任,识别,违约金|违约|经济责任,,,未识别,,缺少违约责任，建议添加。当对方出现逾期还款或是拒绝还款的情况时，违约责任可以提高其违约成本，达到有效督促其还款的目的，并可以在追索借款的同时，得到其资金占用期间的利息补偿。,高,【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十九条】出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。,出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。,
保证责任,识别,一般保证|连带责任保证,"1、当事人关于保证约定，应确定是一般保证还是连带责任保证：一般保证的保证人在借款纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，法律另有规定的除外；连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。
2、出借人需注意在《借条》或《借款合同》中若约定了保证人，就需明确保证方式，如没有约定或约定不明确的，将会按一般保证承担保证责任。承担保证责任需要明确表明其保证人身份或者承担保证责任，或者通过其他事实能推定其为保证人。",当事人关于保证约定，应确定是一般保证还是连带责任保证：一般保证的保证人在借款纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，法律另有规定的除外；连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。,未识别，不做审核,,,高,"【《中华人民共和国民法典》第六百八十六条】保证的方式包括一般保证和连带责任保证。当事人在保证合同中对保证方式没有约定或者约定不明确的，按照一般保证承担保证责任。|【《中华人民共和国民法典》第六百八十七条】当事人在保证合同中约定，债务人不能履行债务时，由保证人承担保证责任的，为一般保证。一般保证的保证人在主合同纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，但是有下列情形之一的除外:
(一)债务人下落不明，且无财产可供执行;
(二)人民法院已经受理债务人破产案件;
(三)债权人有证据证明债务人的财产不足以履行全部债务或者丧失履行债务能力;
(四)保证人书面表示放弃本款规定的权利。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十条】他人在借据、收据、欠条等债权凭证或者借款合同上签名或者盖章，但是未表明其保证人身份或者承担保证责任，或者通过其他事实不能推定其为保证人，出借人请求其承担保证责任的，人民法院不予支持。",他人在借据、收据、欠条等债权凭证或者借款合同上签字或者盖章，但未表明其保证人身份或者承担保证责任，或者通过其他事实不能推定其为保证人，出借人请求其承担保证责任的，人民法院不予支持。,
担保条款—物保,识别,抵押,,,未识别，不做审核,,,低,,,
签章,识别,签字捺印|签字|签名|盖章,,,未识别,,缺少签章，建议添加。,高,,借款人本人应签字、捺印，签名须与身份证所载姓名一致，且需附身份证号。应将借款人签名捺印的身份证复印件作为借条附件，或将身份证复印到借条背面或其他空白位置。或要求借款人写明家庭住址和联系方式，以便后期诉讼立案需要。如借款人已婚，建议由夫妻双方共同签字，以确认为夫妻共同债务，避免争议。,
落款日期,识别,立据日期|按手印,借条末尾日期下面的空白处建议裁掉，防止单方修改。从法律上讲，借条手写或打印都可以。但是，若借款人将事先写好的借条交给出借人的话，就不排除该借条中借款人的签名系由他人代签的可能。当出借人索款时借款人则可能以不是本人笔迹为由，拒绝偿还。所以，出借人可以尽量要求借款人当面书写借条。若借条为打印稿，在借款人署名栏最好要求由借款人签名、盖章、按手印，并注意由债务人本人填写。,借条末尾日期下面的空白处建议裁掉，防止单方修改。从法律上讲，借条手写或打印都可以。但是，若借款人将事先写好的借条交给出借人的话，就不排除该借条中借款人的签名系由他人代签的可能。当出借人索款时借款人则可能以不是本人笔迹为由，拒绝偿还。所以，出借人可以尽量要求借款人当面书写借条。若借条为打印稿，在借款人署名栏最好要求由借款人签名、盖章、按手印，并注意由债务人本人填写。,未识别,,缺少落款日期，建议添加。,中,,,
