schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
保密内容和范围,识别,,,建议仔细阅读保密内容和范围是否过大，避免因范围过大影响接收方正常使用保密内容。,未识别,,保密内容和范围条款缺失或约定不明确，为避免约定不明引发纠纷，建议补充。,高,【《最高人民法院关于审理侵犯商业秘密民事案件适用法律若干问题的规定》第一条】 与技术有关的结构、原料、组分、配方、材料、样品、样式、植物新品种繁殖材料、工艺、方法或其步骤、算法、数据、计算机程序及其有关文档等信息，人民法院可以认定构成反不正当竞争法第九条第四款所称的技术信息。与经营活动有关的创意、管理、销售、财务、计划、样本、招投标材料、客户信息、数据等信息，人民法院可以认定构成反不正当竞争法第九条第四款所称的经营信息。前款所称的客户信息，包括客户的名称、地址、联系方式以及交易习惯、意向、内容等信息。,双方在约定保密内容时，务必把需要保密的对象、范围、内容和期限等明确下来，最好通过列举的方式列明所有需要保密内容。,,保密内容及范围明确性审核,保密内容
保密期限,识别,,,,未识别,,保密期限条款缺失或约定不明确，建议根据保密信息商业价值酌情约定合理的保密期限。,高,【《中华人民共和国劳动合同法》第二十四条】 竞业限制的人员限于用人单位的高级管理人员、高级技术人员和其他负有保密义务的人员。竞业限制的范围、地域、期限由用人单位与劳动者约定，竞业限制的约定不得违反法律、法规的规定。在解除或者终止劳动合同后，前款规定的人员到与本单位生产或者经营同类产品、从事同类业务的有竞争关系的其他用人单位，或者自己开业生产或者经营同类产品、从事同类业务的竞业限制期限，不得超过二年。,法律上对商业秘密的保密期限(有效期)没有限制，只要商业秘密的四个基本特征没有消失，权利人即可以将商业秘密一直保持下去。但无论因什么原因导致商业秘密被公之于众，其“秘密性”不复存在，也就不能作为商业秘密被继续保护。,,确定保密期限审核,保密期限
商业合作方违约责任,识别,,,,未识别,,违约责任条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。,如接受秘密一方违反保密义务，披露方可要求其承担相应的违约责任，赔偿其损失。,,明确商业合作方违约责任审核,违约责任
劳动者保密违约责任,识别,员工,,,未识别,,劳动者保密违约责任条款缺失或约定不明确，建议补充完整。保密对象为员工时，除了员工违反服务期约定或违反竞业限制义务两种情形之外，企业不得与员工约定由员工承担违约金。因此，保密协议中不得约定员工泄露企业商业秘密时应当支付违约金，但可以要求员工赔偿由此给企业造成的损失。,高,"【《中华人民共和国劳动合同法》第二十二条】用人单位为劳动者提供专项培训费用，对其进行专业技术培训的，可以与该劳动者订立协议，约定服务期。
劳动者违反服务期约定的，应当按照约定向用人单位支付违约金。违约金的数额不得超过用人单位提供的培训费用。用人单位要求劳动者支付的违约金不得超过服务期尚未履行部分所应分摊的培训费用。
用人单位与劳动者约定服务期的，不影响按照正常的工资调整机制提高劳动者在服务期期间的劳动报酬。
|【《中华人民共和国劳动合同法》第二十三条】用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。
对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。
【《中华人民共和国劳动合同法》第二十五条】除本法第二十二条和第二十三条规定的情形外，用人单位不得与劳动者约定由劳动者承担违约金。",如接受秘密一方违反保密义务，披露方可要求其承担赔偿其损失的违约责任。,,劳动者保密违约责任合法性审核,违约责任
劳动者竞业限制期限,竞业限制期限审核,,,,未识别,,竞业限制条款缺失或约定不明确，建议补充完整。保密对象为员工时，对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款。,高,【《中华人民共和国劳动合同法》第二十三条】 用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。,,竞业限制期限过长，建议核实。竞业限制期限不得超过两年。,劳动者竞业限制期限合理性审核,竞业限制
劳动者竞业限制补偿标准,竞业限制补偿标准审核,,,,未识别,,竞业限制补偿条款缺失或约定不明确，建议补充完整。保密对象为员工时，对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。,高,"【《最高人民法院关于审理劳动争议案件适用法律若干问题的解释》第三十六条】当事人在劳动合同或者保密协议中约定了竞业限制，但未约定解除或者终止劳动合同后给予劳动者经济补偿，劳动者履行了竞业限制义务，要求用人单位按照劳动者在劳动合同解除或者终止前十二个月平均工资的30%按月支付经济补偿的，人民法院应予支持。
前款规定的月平均工资的30%低于劳动合同履行地最低工资标准的，按照劳动合同履行地最低工资标准支付。",对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。,竞业限制补偿金过低，建议核实。经济补偿金不得少于劳动合同履行地最低工资标准。,劳动者竞业限制标准合理性审核,竞业限制
劳动者竞业限制补偿支付时间,竞业限制补偿支付时间审核,在解除或者终止劳动合同后,,,未识别,,竞业限制补偿支付时间条款缺失或约定不明确，建议补充完整。保密对象为员工时，对负有保密义务的劳动者，用人单位可以在保密协议中与劳动者约定竞业限制，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。,高,【《中华人民共和国劳动合同法》第二十三条】 用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。,竞业限制补偿支付时间应在解除或者终止劳动合同后。,竞业限制补偿支付时间不得早于解除或者终止劳动合同时间。,劳动者竞业限制补偿支付时间节点审核,竞业限制
竞业限制违约责任,识别,违反竞业限制,,,未识别,,竞业限制违约责任条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国劳动合同法》第二十三条】 用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。|【《最高人民法院关于审理劳动争议案件适用法律若干问题的解释》第三十八条】当事人在劳动合同或者保密协议中约定了竞业限制和经济补偿，劳动合同解除或者终止后，因用人单位的原因导致三个月未支付经济补偿，劳动者请求解除竞业限制约定的，人民法院应予支持。,违反竞业限制一方应承担相应的违约责任。,,竞业限制违约责任明确性审核,竞业限制
合同解除,识别,合同解除|解除合同,合同解除分为法定解除与约定解除。约定解除指当事人协商一致，可以解除合同；法定解除指合同解除的条件须满足法律规定。,"法定解除情形包括：
1．因不可抗力致使不能实现合同目的；
2．在履行期限届满之前，当事人一方明确表示或者以自己的行为表明不履行主要债务。此即债务人拒绝履行，也称毁约；
3．当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行。此即债务人迟延履行；
4．当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；
5．法律规定的其他情形。",未识别，不作审核,,,中,【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第七百二十二条】承租人无正当理由未支付或者迟延支付租金的，出租人可以请求承租人在合理期限内支付；承租人逾期不支付的，出租人可以解除合同。|【《中华人民共和国民法典》第七百二十四条】有下列情形之一，非因承租人原因致使租赁物无法使用的，承租人可以解除合同：（一）租赁物被司法机关或者行政机关依法查封、扣押；（二）租赁物权属有争议；（三）租赁物具有违反法律、行政法规关于使用条件的强制性规定情形。|【《中华人民共和国民法典》第七百二十九条】因不可归责于承租人的事由，致使租赁物部分或者全部毁损、灭失的，承租人可以请求减少租金或者不支付租金；因租赁物部分或者全部毁损、灭失，致使不能实现合同目的的，承租人可以解除合同。|【《中华人民共和国民法典》第七百三十条】当事人对租赁期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，视为不定期租赁；当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第七百三十一条】租赁物危及承租人的安全或者健康的，即使承租人订立合同时明知该租赁物质量不合格，承租人仍然可以随时解除合同。,,,解除条件明确性审核,合同解除
争议解决,识别, , ,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
为避免诉累，应尽可能约定对己方有利的管辖法院或仲裁机构。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。",中,【《中华人民共和国民事诉讼法》第二十四条】因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。|【《中华人民共和国民事诉讼法》第三十五条】合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。,,管辖有效性审核,争议解决
未尽事宜,识别,,,,未识别，不作审核,,,低,,,,未尽事项补充条款审核,其他约定
合同生效,识别,,,,未识别,,生效条款缺失或约定不明确，建议补充完整。一般合同自双方签字或盖章后生效。,中,【《中华人民共和国民法典》第四百九十条】 当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。|【《中华人民共和国民法典》第五百零二条】 依法成立的合同，自成立时生效，但是法律另有规定或者当事人另有约定的除外。依照法律、行政法规的规定，合同应当办理批准等手续的，依照其规定。未办理批准等手续影响合同生效的，不影响合同中履行报批等义务条款以及相关条款的效力。应当办理申请批准等手续的当事人未履行义务的，对方可以请求其承担违反该义务的责任。依照法律、行政法规的规定，合同的变更、转让、解除等情形应当办理批准等手续的，适用前款规定。,约定保密合同解除时，保密义务不因合同的解除而失效。,,生效条款审核,合同生效
签订日期,识别,,,,未识别,,签订日期缺失，建议补充完整。,中,"【《中华人民共和国民法典》第五百零二条】 依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",如涉及商业秘密披露，应在订立主合同（前）时，或在员工入职时一并签订《保密协议》。,,签订日期完整性审核,合同签署审核
附件,识别,,,,未识别，不作审核,,,低,,,,合同附件审核,合同附件
