schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
支付方式,识别,,,,未识别,,"支付方式条款缺失或约定不明确，建议补充完整。
需明确约定月结、日结，以及结算时间等。",高,,应在合同中明确约定劳动报酬支付方式。,,劳务报酬支付方式审核,劳务报酬
加班,识别,,,,未识别，不作审核,,,中,,雇主安排加班的，双方应协商加班劳务报酬金额，按照约定向劳动者支付加班费。,,加班约定审核,工作时间和休息
保险,识别,,,,未识别，不作审核,,,中,,工伤保险制度不适用于劳务关系，仅适用于用人单位与劳动者之间的劳动关系，为了避免劳务提供者受伤给自身带来损失，接受劳务方可以购买商业保险进行补充，降低雇主赔偿责任。,,提供意外保险审核,劳务保护
保密条款,识别,,,,未识别，不作审核,,,低,,,,保密条款约定审核,保密条款
合同解除,识别,合同解除|约定解除|法定解除|预期违约|根本违约,,,未识别,,合同解除条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十六条】合同解除后，尚未履行的，终止履行；已经履行的，根据履行情况和合同性质，当事人可以请求恢复原状或者采取其他补救措施，并有权请求赔偿损失。
合同因违约解除的，解除权人可以请求违约方承担违约责任，但是当事人另有约定的除外。",双方有权按照相关法律规定或合同约定解除劳务合同。,,合同解除情形审核,劳务合同变更、解除
违约责任,识别,,,,未识别,,"违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。,违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,,违约责任合理性审核,违约责任
损害赔偿,识别,损害赔偿|人身伤害|赔偿责任|赔偿损失,个人劳务雇佣中，雇员因劳务致使自身损害的，雇主与雇员按照各自过错承担责任；若在提供劳务期间因第三人行为受害的，由第三人承担责任，也可要求雇主补偿，雇主补偿后有权向第三人追偿。雇员致他人损害的，由雇主承担侵权责任，若雇员提供的劳务是基于故意或重大过失而造成他人损害的，雇主在承担完侵权责任后有权向雇员追偿。,雇员在劳务过程中致使自身损害的，按照各自过错与雇主承担责任，若因雇员自身故意或重大过失造成他人损害的，雇员承担损害赔偿责任。,未识别，不作审核,,,中,【《中华人民共和国民法典》第五百八十二条】履行不符合约定的，应当按照当事人的约定承担违约责任。对违约责任没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，受损害方根据标的的性质以及损失的大小，可以合理选择请求对方承担修理、重作、更换、退货、减少价款或者报酬等违约责任。|【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十四条】当事人一方不履行合同义务或者履行合同义务不符合约定，造成对方损失的，损失赔偿额应当相当于因违约所造成的损失，包括合同履行后可以获得的利益；但是，不得超过违约一方订立合同时预见到或者应当预见到的因违约可能造成的损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。|【《中华人民共和国民法典》第一千一百九十一条】用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。用人单位承担侵权责任后，可以向有故意或者重大过失的工作人员追偿。劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的责任。|【《中华人民共和国民法典》第一千一百九十二条】个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。|【《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释(2022修正)》第四条】无偿提供劳务的帮工人，在从事帮工活动中致人损害的，被帮工人应当承担赔偿责任。被帮工人承担赔偿责任后向有故意或者重大过失的帮工人追偿的，人民法院应予支持。被帮工人明确拒绝帮工的，不承担赔偿责任。|【《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释(2022修正)》第五条】无偿提供劳务的帮工人因帮工活动遭受人身损害的，根据帮工人和被帮工人各自的过错承担相应的责任；被帮工人明确拒绝帮工的，被帮工人不承担赔偿责任，但可以在受益范围内予以适当补偿。,,,损害赔偿条款,违约责任
合同生效,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
一般合同自双方签字或盖章后生效。",中,【《中华人民共和国民法典》第四百九十条】当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。|【《中华人民共和国民法典》第五百零二条】依法成立的合同，自成立时生效，但是法律另有规定或者当事人另有约定的除外。依照法律、行政法规的规定，合同应当办理批准等手续的，依照其规定。未办理批准等手续影响合同生效的，不影响合同中履行报批等义务条款以及相关条款的效力。应当办理申请批准等手续的当事人未履行义务的，对方可以请求其承担违反该义务的责任。依照法律、行政法规的规定，合同的变更、转让、解除等情形应当办理批准等手续的，适用前款规定。,,,,
未尽事宜,识别,,,,未识别，不作审核,,,低,,,,  ,
劳务合同争议解决,劳务合同争议解决方式审核,,,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
如发生争议，双方应友好协商解决。劳务合同纠纷出现后可以经双方当事人协商解决，也可以直接起诉，劳务合同纠纷不属于劳动仲裁委员会管辖的范围。",中,,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。,劳务合同争议解决方式错误，建议核实或修改。,,
附件,识别,,,,未识别，不作审核,,,低,,,,,
签订日期,识别,,,,未识别,,签订日期缺失，建议补充完整。,中,"【《中华人民共和国民法典》第五百零二条】 依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",签订日期为合同成立日期。,,,
提供劳务者受害责任自负,违法,,,,未识别，不作审核,,,高,【《中华人民共和国民法典》第一千一百九十二条】个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。,提供劳务者因劳务受到损害的，根据双方各自的过错承担相应的责任。,提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。,,
