id,type,name,son_factor,group_id,question,answer,factor_answer,multiple_choice
11,factor,您方存在过错,,5,您方是否存在以下情形？,骑自行车、三轮车未满12周岁|骑电动车未满16周岁|酒驾|转弯前未减速慢行，伸手示意|超车时妨碍被超车辆行驶|车辆牵引时双手离把或手中持物|扶身并行、互相追逐或者曲折竞驶|在道路上骑独轮自行车|在道路上骑2人以上骑行的自行车|自行车、三轮车加动力装置|在道路上学骑非机动车|其他导致交通事故发生的过错行为|以上都没有,骑自行车、三轮车未满12周岁|骑电动车未满16周岁|酒驾|转弯前未减速慢行，伸手示意|超车时妨碍被超车辆行驶|车辆牵引时双手离把或手中持物|扶身并行、互相追逐或者曲折竞驶|在道路上骑独轮自行车|在道路上骑2人以上骑行的自行车|自行车、三轮车加动力装置|在道路上学骑非机动车|其他导致交通事故发生的过错行为,0
12,factor,您方不存在过错,,5,您方是否存在以下情形？,骑自行车、三轮车未满12周岁|骑电动车未满16周岁|酒驾|转弯前未减速慢行，伸手示意|超车时妨碍被超车辆行驶|车辆牵引时双手离把或手中持物|扶身并行、互相追逐或者曲折竞驶|在道路上骑独轮自行车|在道路上骑2人以上骑行的自行车|自行车、三轮车加动力装置|在道路上学骑非机动车|其他导致交通事故发生的过错行为|以上都没有,以上都没有,0
13,factor,故意造成事故,,,是否故意造成事故？,是|否,是,0
14,factor,您方故意造成事故,故意造成事故,6,您方是否故意造成事故？,是|否,是,0
15,factor,对方故意造成事故,故意造成事故,6,您方是否故意造成事故？,是|否,否,0
16,factor,逃逸、故意破坏或伪造现场、毁灭证据,,,是否逃逸、故意破坏或伪造现场、毁灭证据？,是|否,是,0
17,factor,您方逃逸、故意破坏或伪造现场、毁灭证据,逃逸、故意破坏或伪造现场、毁灭证据,7,您方是否逃逸、故意破坏或伪造现场、毁灭证据？,是|否,是,0
18,factor,对方逃逸、故意破坏或伪造现场、毁灭证据,逃逸、故意破坏或伪造现场、毁灭证据,7,对方是否逃逸、故意破坏或伪造现场、毁灭证据？,是|否,否,0
19,factor,您方为机动车,,11,您方是机动车还是非机动车或行人？,机动车|非机动车或行人,机动车,0
20,factor,您方为非机动车或行人,,11,您方是机动车还是非机动车或行人？,机动车|非机动车或行人,非机动车或行人,0
21,factor,您方已购买保险,,8,您方是否购买保险？,是|否,是,0
22,factor,您方未购买保险,,8,您方是否购买保险？,是|否,否,0
23,factor,您方为机动车,,9,您方是机动车还是非机动车或行人？,机动车|非机动车或行人,机动车,0
24,factor,您方为非机动车或行人,,9,您方是机动车还是非机动车或行人？,机动车|非机动车或行人,非机动车或行人,0
25,factor,您方在接受驾驶培训时发生事故,,,事故发生于何时？,接受驾驶培训|试乘|执行工作任务|以上都不是,接受驾驶培训,0
26,factor,您方在试乘时发生事故,,,事故发生于何时？,接受驾驶培训|试乘|执行工作任务|以上都不是,试乘,0
27,factor,您方正在执行工作任务,,,事故发生于何时？,接受驾驶培训|试乘|执行工作任务|以上都不是,执行工作任务,0
28,factor,驾驶没有特殊情形,,,事故发生于何时？,接受驾驶培训|试乘|执行工作任务|以上都不是,以上都不是,0
29,factor,您方车辆存在缺陷,,,您方车辆是否存在以下情形？,车辆存在缺陷|借用或租用车辆|盗窃、抢夺或抢劫车辆|套牌车辆|车辆被多次转让|挂靠车辆|以上都不是,车辆存在缺陷,0
30,factor,您方不是机动车所有人或管理人,,,您方车辆是否存在以下情形？,车辆存在缺陷|借用或租用车辆|盗窃、抢夺或抢劫车辆|套牌车辆|车辆被多次转让|挂靠车辆|以上都不是,借用或租用车辆,0
31,factor,您方是盗窃抢夺或抢劫车辆,,,您方车辆是否存在以下情形？,车辆存在缺陷|借用或租用车辆|盗窃、抢夺或抢劫车辆|套牌车辆|车辆被多次转让|挂靠车辆|以上都不是,盗窃、抢夺或抢劫车辆,0
32,factor,您方是套牌车辆,,,您方车辆是否存在以下情形？,车辆存在缺陷|借用或租用车辆|盗窃、抢夺或抢劫车辆|套牌车辆|车辆被多次转让|挂靠车辆|以上都不是,套牌车辆,0
33,factor,您方车辆被多次转让,,,您方车辆是否存在以下情形？,车辆存在缺陷|借用或租用车辆|盗窃、抢夺或抢劫车辆|套牌车辆|车辆被多次转让|挂靠车辆|以上都不是,车辆被多次转让,0
34,factor,您方是挂靠的运营车辆,,,您方车辆是否存在以下情形？,车辆存在缺陷|借用或租用车辆|盗窃、抢夺或抢劫车辆|套牌车辆|车辆被多次转让|挂靠车辆|以上都不是,挂靠车辆,0
35,factor,车辆没有特殊情形,,,您方车辆是否存在以下情形？,车辆存在缺陷|借用或租用车辆|盗窃、抢夺或抢劫车辆|套牌车辆|车辆被多次转让|挂靠车辆|以上都不是,以上都不是,0
36,factor,机动车所有人或管理人存在过错,,10,车辆所有人或管理人是否存在过错，如知道车辆问题，或知道您存在违章行为？,是|否,是,0
37,factor,机动车所有人或管理人不存在过错,,10,车辆所有人或管理人是否存在过错，如知道车辆问题，或知道您存在违章行为？,是|否,否,0
38,factor,您方车辆未办理转移登记,,,车辆是否办理转移登记？,是|否,是,0
39,factor,您方车辆是拼装车、报废车或禁止行驶的机动车,,,车辆是否是拼装车、报废车或禁止行驶的机动车？,是|否,是,0
40,factor,道路存在缺陷,,,是否因道路缺陷导致事故的发生？,是|否,是,0
41,factor,堆放、倾倒、遗撒物品妨碍交通,,,是否因堆放、倾倒、遗撒物品等妨碍交通的行为导致事故的发生？,是|否,是,0
42,factor,道路管理者未尽管理维护义务,,,是否因道路管理者未尽到管理维护义务导致事故的发生？,是|否,是,0
