,审查条款名称,问题说明（未识别时),参考条款,风险等级（高、中、低）,识别关键词（正则),备注
10,加班,"用人单位由于生产经营需要，经与工会和劳动者协商后可以延长工作时间，一般每日不得超过一小时；因特殊原因需要延长工作时间的，在保障劳动者身体健康的条件下延长工作时间每日不得超过三小时，但是每月不得超过三十六小时。

用人单位安排加班的，应当按国家有关规定向劳动者支付加班费。

工作日安排者加班，支付不低于工资的150%工资报酬；

休息日安排加班又不能补休的，支付不低于工资的200%工资报酬；

法定休假日安排加班的，支付不低于工资的300%的工资报酬。","1、用人单位延长劳动者工作时间的，应依法安排劳动者同等时间补休或支付加班加点工资，加班工资按法律规定执行。

2、劳动者因主观原因未能在工作时间内完成本职工作而造成的劳动时间延长，不属于加班，用人单位也无需支付加班工资。",低,加班,
11,休息休假,休息休假是劳动合同应当具备的条款。用人单位应当保证劳动者每周至少休息一日。休息休假包括法定节假日、年休假、婚丧假、产假等。用人单位应当保障劳动者的法定休假权，否则应承担相应的法律责任。,劳动者依法享有婚假、产假、丧假、带薪年休假等，用人单位在法定节假日、休息日期间应安排劳动者休息休假。,低,休息|节假日,
12,工作岗位,工作内容是劳动合同应当具备的条款。工作岗位涉及劳动者从事的具体工种和工作性质，对工作岗位约定不明，可能导致劳动者上岗后无法胜任工作岗位，给用人单位带来损失。工作岗位的调整属于工作内容的变更，应当经过双方共同协商，取得一致意见。对岗位调整约定不明可能导致用人单位单方调整劳动者岗位，造成劳动者调岗前后薪资待遇差异大，损害劳动者利益或者因此发生劳动纠纷。,根据用人单位工作需要，劳动者同意从事________岗位（工种）工作。经用人单位、劳动者双方协商同意，可以变更工作岗位（工种），劳动者应按照用人单位的要求，按时完成规定的工作数量，达到规定的质量标准。,高,从事.*岗位|职位|工作内容,
13,工作地点,工作地点是劳动合同应当具备的条款。也是劳动者择业时的一项重要条件，工作地点约定不明，可能导致劳动者因工作地点变更而无法继续履行劳动合同。,劳动者同意在用人单位安排的工作地点___________从事工作。根据用人单位的工作需要，经用人单位和劳动者双方协商同意，可以变更工作地点。,高,工作地,
14,试用期工资数额,劳动者在试用期的工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的百分之八十，并不得低于用人单位所在地的最低工资标准。,"劳动者在试用期间的工资为_____元/月。试用期满后，用人单位以下列第  种计算方式支付劳动者工资：

1、计时工资。工资为_____元/月。

2、计件工资。用人单位应制定科学合理的劳动定额标准，双方及时协商约定计件单价。

3、其他形式 、用人单位应以法定货币形式按月支付劳动者工资，支付日期为每月的_____日。劳动者月工资不得低于省政府公布的最低工资标准。",中,试用期.*(工资|薪资|薪酬),
15,工资数额,劳动报酬是劳动合同应当具备的条款。工资一般包括计时工资、计件工资、奖金、津贴和补贴、加班加点的工资报酬以及特殊情况下支付的工资等。工资构成和数额约定不明，可能导致用人单位和劳动者争议纠纷，如用人单位不支付或不足额发放工资，会损害劳动者合法权益。,"劳动者的工资为_____元/月。试用期满后，用人单位以下列第  种计算方式支付劳动者工资：

1、计时工资。工资为_____元/月。

2、计件工资。用人单位应制定科学合理的劳动定额标准，双方及时协商约定计件单价。

3、其他形式 、用人单位应以法定货币形式按月支付劳动者工资，支付日期为每月的_____日。劳动者月工资不得低于省政府公布的最低工资标准。",高,工资|薪资|薪酬,
16,劳动保护、劳动条件和职业危害防护条款,"劳动保护，是指用人单位为了防止劳动过程中的事故，减少职业危害，保障劳动者的生命安全和健康而采取的各种措施；劳动条件，是指用人单位对劳动者从事某项劳动提供的必要条件；职业危害防护，是要求用人单位对于产生职业病的岗位必须有防护和控制措施。
用人单位必须为劳动者提供符合国家规定的劳动安全卫生条件。劳动条件未保障到位，可能导致劳动者无法工作或在工作中发生事故遭受损害。",用人单位应按国家规定提供安全卫生的劳动条件并根据生产岗位的需要为劳动者配备必要的安全防护措施，发放必要的劳动保护用品，切实保护劳动者在工作中的安全和健康。如劳动者在工作过程中产生职业危害病，用人单位则按《职业病防治法》等规定保护乙方的健康及相关权益。,中,劳动条件|劳动保护|职业危害防护,
17,劳动纪律条款,劳动纪律条款主要是对职工的奖励惩处规定。用人单位在法律允许的范围内，通过内部制定相关规章制度，在工会或向全体职工公告并在职工承诺接受后开始生效。  劳动纪律约定不明，可能导致因劳动者的违规行为给用人单位造成损失。  ,劳动者应遵守国家的法律、法规及用人单位依法规定的各项规章制度。劳动者违反劳动纪律和用人单位的规章制度，用人单位可按奖惩规定给予批评、教育、处罚。,高,劳动纪律|规章制度,
18,社会保险条款,"社会保险是法律规定劳动合同应当具备的条款，社会保险包括养老保险、基本医疗保险、失业保险、工伤保险和生育保险，用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。劳动者在退休；患病、负伤；因工伤残或者患职业病；失业；生育等情形下，依法享受社会保险待遇。
社会保险条款约定不明，可能导致用人单位不给劳动者缴纳社会保险。损害劳动者合法权益。",用人单位和劳动者双方应执行国家有关社会保险和福利的规定，依法参加当地政府规定的法定社会保险，缴纳社会保险费，其中劳动者应缴纳部分由用人单位从劳动者工资中代扣代缴。,中,社保|社会保险|五险,
19,教育培训条款,用人单位负担专项培训费用，对劳动者进行专业技术培训的，可以与该劳动者在协议中约定服务期。劳动者违反服务期约定的，应当按照约定向用人单位支付违约金。违约金的数额不得超过用人单位提供的培训费用。用人单位要求劳动者支付的违约金不得超过服务期尚未履行部分所应分摊的培训费用。   培训条款约定不明，可能导致劳动者跳槽给用人单位造成资源损失。,劳动者在职期间(含转岗)，由用人单位出资对其进行职业技术培训，当劳动者未满约定服务年限解除本合同时，用人单位可以按照实际支付的培训费(包括培训期间的工资)计收违约金，其标准为每服务一年递减实际支付的培训费总额的【   】 。,低,培训,
20,保密条款,多数用人单位与劳动者签订劳动合同时包括保密条款或者会签订保密协议，以保护用人单位的商业秘密。劳动者违反保密义务，不仅涉及劳动法上的责任，还可能负上民法、刑法上的责任。,"劳动者因在单位履行职务知悉用人单位的商业秘密，对用人单位的竞争优势具有重要影响，劳动者有为用人单位保护、保守商业秘密的义务。                                                                                                              用人单位商业秘密涉及的范围包括但不限于以下内容：
（1）技术信息：产品配方、企业标准规范、工艺流程、技术指标、操作手册、设备状况、涉及商业秘密的业务函电等；
（2）经营信息：包括营销计划、客户名单、定价政策、采购资料、采购价格、客户等级、进货渠道、不公开的财务资料等；
（3）依照法律规定或者有关协议的约定，对外承担保密义务的事项，包括薪资、战略、客户标准、采购价格等。
2、劳动者的保密责任包括但不限于：
（1）未经用人单位书面同意，在职期间不得经营或者为他人经营与用人单位同类的业务；
（2）不刺探与本职工作或本身业务无关的商业秘密；
（3）不得向不承担保密义务的任何第三人披露用人单位的商业秘密；
（4）不得允许或协助不承担保密义务的任何第三人使用用人单位的商业秘密；
（5）如发现商业秘密被泄露或者自己过失泄露商业秘密，应当采取有效措施防止泄露进一步扩大，并及时向主管领导或用人单位报告。
3、保密期限
劳动者对用人单位及用人单位所持合作方的商业秘密，保密期为：自接触该商业秘密之日起____年。",中,保密,
21,竞业限制条款,竞业限制条款是用人单位为了保护商业秘密而对劳动者约定的条款，一般竞业限制的人员限于高级管理人员、高级技术人员和其他负有保密义务的人员。  约定竞业限制条款对劳动者是增加的义务，劳动者一旦违反，不仅涉及劳动法上的责任，还可能负上民法、刑法上的责任。,劳动者在工作期间不得在任何企业兼职。劳动者在工作期间不得为自己或第三人经营与用人单位相同或类似的业务或成立同类公司与用人单位竞争。劳动者在解除或终止本合同离职后两年内不得进入与用人单位同行业同类企业或兼营与用人单位同类的业务而与用人单位存在竞争关系的企业工作，劳动者也不得自行发展与用人单位存在竞争关系的业务。,低,兼职|竞争关系,
22,劳动合同变更条款,劳动合同的变更是对用人单位和劳动者可以变更合同的情形的约定，合同变更条款约定不明确的，可能造成一方或者双方违约变更合同，造成对方或者双方损失。,"（一）在下列情况下，本合同可以变更
1、双方就本合同的变更协商一致的；
2、本合同签订时所依据的法律、法规、规章、政策等有重大修改的；
3、由于不可抗力，致使本合同无法完全履行的；
4、法律、法规规定的其他情况。 ",高,合同.*变更|变更.*合同,
23,劳动合同解除条款,"劳动合同的解除是对劳动合同双方解除合同的情形进行的约定，解除条款约定不明，容易导致劳动者和用人单位之间一方或双方违约解除合同，造成对方或双方损失。
用人单位与劳动者协商一致，可以解除劳动合同。劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。用人单位有下列情形之一的，劳动者可以解除劳动合同:

（一）未按照劳动合同约定提供劳动保护或者劳动条件的；

（二）未及时足额支付劳动报酬的；

（三）未依法为劳动者缴纳社会保险费的；

（四）用人单位的规章制度违反法律、法规的规定，损害劳动者权益的；

（五）因本法第二十六条第一款规定的情形致使劳动合同无效的；

（六）法律、行政法规规定劳动者可以解除劳动合同的其他情形。

用人单位以暴力、威胁或者非法限制人身自由的手段强迫劳动者劳动的，或者用人单位违章指挥、强令冒险作业危及劳动者人身安全的，劳动者可以立即解除劳动合同，不需事先告知用人单位。

第三十九条 劳动者有下列情形之一的，用人单位可以解除劳动合同:

（一）在试用期间被证明不符合录用条件的；

（二）严重违反用人单位的规章制度的；

（三）严重失职，营私舞弊，给用人单位造成重大损害的；

（四）劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；

（五）因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；

（六）被依法追究刑事责任的。

第四十条 有下列情形之一的，用人单位提前三十日以书面形式通知劳动者本人或者额外支付劳动者一个月工资后，可以解除劳动合同:

（一）劳动者患病或者非因工负伤，在规定的医疗期满后不能从事原工作，也不能从事由用人单位另行安排的工作的；

（二）劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的；

（三）劳动合同订立时所依据的客观情况发生重大变化，致使劳动合同无法履行，经用人单位与劳动者协商，未能就变更劳动合同内容达成协议的。

劳动者有下列情形之一的，用人单位不得解除劳动合同:

（一）从事接触职业病危害作业的劳动者未进行离岗前职业健康检查，或者疑似职业病病人在诊断或者医学观察期间的；

（二）在本单位患职业病或者因工负伤并被确认丧失或者部分丧失劳动能力的；

（三）患病或者非因工负伤，在规定的医疗期内的；

（四）女职工在孕期、产期、哺乳期的；

（五）在本单位连续工作满十五年，且距法定退休年龄不足五年的；

（六）法律、行政法规规定的其他情形。",劳动合同解除和终止，以及解除终止劳动合同的经济补偿金、赔偿金的支付等，双方按照法律法规有关规定执行。,高,合同.*解除|解除.*合同,
24,劳动合同终止条款,"劳动合同期满或者当事人约定的劳动合同终止条件出现，劳动合同即行终止。对合同终止条件约定不明确的，易造成违约终止合同的情况，造成相对方损失。

有下列情形之一的，劳动合同终止:

（一）劳动合同期满的；

（二）劳动者开始依法享受基本养老保险待遇的；

（三）劳动者死亡，或者被人民法院宣告死亡或者宣告失踪的；

（四）用人单位被依法宣告破产的；

（五）用人单位被吊销营业执照、责令关闭、撤销或者用人单位决定提前解散的；

（六）法律、行政法规规定的其他情形。",劳动合同解除和终止，以及解除终止劳动合同的经济补偿金、赔偿金的支付等，双方按照法律法规有关规定执行。,高,合同.*终止|终止.*合同,
25,劳动合同续签条款,劳动合同的续订是原劳动合同的双方当事人平等自愿、协商一致，对原合同内容没有异议，就合同续订后的期限达成一致。劳动合同到期，双方应审慎决定是否续签。对于用人单位要规范续签流程，避免支付经济补偿金。 ,合同期满后，根据需要甲乙双方可以协商续订合同。如一方不同意续订，另一方不得强迫。续订合同于原合同期满前三十天商议。,中,续订.*合同|续签.*合同,
26,违约解除合同责任,违约解除劳动合同是劳动纠纷案件中多发的争议焦点。违约解除合同时应承担的法律责任是劳动合同的重要内容，如果对违约解除合同须承担什么法律后果、赔偿责任约定不明，可能导致劳动者单方违约解除劳动合同，给用人单位造成损失。或用人单位单方违约解除劳动合同，损害劳动者合法权益。,"1、用人单位违反本合同约定的条件解除劳动合同，给劳动者造成损失的，按《劳动合同法》等有关规定赔偿劳动者损失；

2、劳动者违反本合同约定的条件解除劳动合同给用人单位造成损失的，按《劳动合同法》等有关规定赔偿用人单位损失；",低,违反.*解除,
27,赔偿责任,"法律规定：劳动者违反劳动合同中约定的保密事项，对用人单位造成经济损失的，应当依法承担赔偿责任。

用人单位及劳动者违反合同给对方造成损失的，应承担相应赔偿责任。赔偿责任条款约定不明，可能导致劳动者违法解除劳动合同，给用人单位造成损失。 ",劳动者和用人单位双方必须严格履行劳动合同，除遇有特殊情况，经双方协商一致不能履行劳动合同的有关内容外，任何一方违反合同给对方造成经济损失的，应根据其后果和责任大小，给对方赔偿经济损失。赔偿金额按有关规定或实际情况确定。,低,赔偿,
28,争议解决条款,劳动争议的处理制度是协商、调解、仲裁、诉讼。劳动者也可充分利用劳动监察这一行政救济措施。 争议解决条款约定不明，可能导致发生劳动合同纠纷不能及时解决。,"双方履行本合同如发生争议，可先协商解决；不愿协商或协商不成的，可以向本单位劳动争议调解委员会申请调解；调解无效，可在争论发生之日起六十日内向当地劳动争议仲栽委员会申请仲栽;也可以直接向劳动争议仲栽委员会申请仲栽。对仲栽决不服的，可向人民法院提起诉讼。

本合同的成立、效力、解释、履行、签署、修订和终止以及争议解决均应适用中华人民共和国法律。",高,争议,
29,合同生效条件,合同生效条款是对合同生效条件的约定。符合约定的生效条款，合同即生效，对合同生效条件约定不明确，容易导致合同未生效，合同无效等法律问题。常见情形是约定合同经签字或盖章之日起生效。,本合同自双方签字盖章之日起生效。,高,生效.*(日|时间)|合同生效,
30,合同份数,劳动合同文本由用人单位和劳动者各执一份。,本合同一式___份，双方各执___份，___份存档，每份具有同等法律效力。,中,一式.*份|各执.*份|同等.*效力,
31,未尽事宜条款,合同无法详尽一切内容，对合同中未写明的其他未尽事宜，可签订补充协议进行约定，或双方协商解决，或在合同中按现行法律、法规和规章的规定执行。,本合同未尽事宜，用人单位甲劳动者双方可另行签订《补充协议》，《补充协议》与本合同具有同等的法律效力。,中,未尽事宜,
32,附件条款,合同附件条款一般是对合同正文中某些条款的详细解释或补充条款，十分重要。合同附件条款约定不明，可能导致合同双方因合同某些条款约定不详细而产生分歧。,用人单位的规章制度及_________作为本劳动合同的附件，与劳动合同具有同等法律效力。,低,附件,
33,补充保险,无,无,低,补充保险,
34,福利待遇,无,无,低,福利|待遇,
