label,index
不满十六周岁的子女,46
因子女上学，实际需要已超过原定数额的,47
给付方的收入明显减少,48
已满十六周岁、不满十八周岁且无独立经济能力的子女,49
因子女患病，实际需要已超过原定数额的,50
因犯罪被收监改造，无力给付,51
丧失劳动能力的成年子女,52
确无独立生活能力和条件的成年子女,53
双方离婚协议约定,54
不按协议约定支付抚养费,55
不按约定支付抚养费,56
未按约定支付,57
在校就读无经济能力的子女,58
离婚判决裁定,59
未按约定支付抚养费,60
离婚协议约定,61
抚养协议,62
未按照约定支付,63
不履行抚养协议,64
给付方不履行抚养协议,65
民事调解书协定,66
不直接抚养非婚生子女的生父或者生母,67
抚养费标准超过给付方实际能力,68
给付方不支付抚养费,69
给付方不履行抚养义务,70
给付方不完全履行抚养协议,71
给付人不完全履行抚养协议,72
拒不履行生效判决,73
给付方不完全履行抚养协议 ,74
不直接抚养非婚生子女的生父或,75
不直接抚养非婚生子女的生父或生母,76
不直接抚养非婚生子女的生父,77
给付方不完全履行抚养义务,78
离婚协议约定抚养费用自理,79
拒不支付,80
未支付,81
未支付抚养费,82
未按协议支付抚养费,83
未按协议支付违约金,84
感情不合离婚,85
给付方经济条件差,86
未支付抚养费用,87
未知年龄,88
拒不支付抚养费,89
未按协议支付赡养费,90
离婚协议约定原告不支付抚养费（诉求：返还抚养费）,91
拒绝抚养费用的返还,92
综合经济健康状况,93
（夫妻之间抚养义务）,94
拒不履行抚养义务,95
子女与原告不存在血缘关系（诉求：不支付抚养费）,96
原告诉求金额过高,97
给付方开支增多，欠有高额债务,98
抚养协议约定,99
民事判决裁定,100
离婚协议未约定,101
离婚协议约定 ,102
拖欠抚养费,103
 民事调解书协定,104
离婚协议约定抚养费，但拒不支付,105
不满十八周岁,106
离婚协议约定不支付抚养费,107
已满十八周岁,108
离婚协议约定抚养费，拒不支付,109
扶养人缺少或者丧失劳动能力,110
未满十八周岁,111
离婚协议约定抚养费,112
离婚协议约定支付抚养费,113
约定抚养费，未支付,114
离婚协议约定支付抚养费，拒不支付,115
生活标椎降低,116
法院判决裁定,117
抚养费数额超过当地实际生活水平,118
抚养费 ,119
父母一方无力独自抚养,120
 拒不履行抚养义务,121
 父母一方无力独自抚养,122
离婚协议意思表示不真实,123
应支付而逃避支付,124
不承担抚养费,125
对关联性存疑证据的排除,126
对合法离婚协议合意的尊重及遵守,127
应支付而未支付,128
抚养子女一方患病或丧失劳动能力，又无经济来源,129
抚养人患病，无其他生活来源，生活极其困难,130
两人具有抚养能力而拒绝抚养,131
婚姻关系解除不影响负担抚养费,132
生活条件变化不能独自抚养,133
认可承担抚养费，但是拖欠,134
被告有抚养义务,135
尚在校就读的未成年子女,136
抚养人无法满足子女生活所需,137
抚养子女一方无固定经济收入,138
有抚养义务,139
不满十八周岁且无独立经济能力的子女,140
不符合约定条件，应承担抚养费,141
被告仅支付部分抚养费,142
有支付抚养费义务,143
不履行抚养义务,144
不履行离婚协议约定,145
患病在先，协议在后,146
协商支付抚养费被无视,147
抚养人无力负担子女抚养费,148
抚养人患病，生活困难,149
不履行协议不支付抚养费，未尽抚养义务,150
子女年龄不明,151
抚养人无力抚养,152
子女一直随一方生活另一方未支付抚养费,153
不直接抚养子女的一方有给付抚养费的能力,154
子女年龄不满十八周岁,155
支付抚养费协议真实有效，但是一方未实际全面支付,156
拒不履行抚养责任,157
协议约定支付但一直未支付抚养费,158
不直接抚养子女的一方具有增加给付抚养费的能力,159
有协议而未支付,160
双方原来没有抚养费用协议，后子女上学开销增加,161
抚养子女一方生活条件艰苦，无经济来源支撑子女生活,162
被告收入明显增加可以负担增加的抚养费,163
存在财产分割协议,164
夫妻关系存续期间所得生产、经营的收益,165
夫妻关系存续期间所得继承或赠与所得的财产,166
夫妻关系存续期间所得工资、奖金,167
夫妻关系存续期间所得的、其他应当归共同所有的财产,168
一方的婚前财产,169
一方专用的生活用品,170
遗嘱或赠与合同中确定只归夫或妻一方的财产,171
一方因身体受到伤害获得的医疗费、残疾人生活补助费等费用,172
婚前明确归双方所得的继承或赠与所得财产,173
无法偿还贷款,174
借款人借款后离婚,175
借款人借款后死亡,176
三代以内旁系血亲,177
婚前患有医学上认为不应当结婚的疾病，婚后尚未治愈,178
起诉时女方未满20岁或男方未满22岁,179
直系血亲,180
胁迫结婚,181
不直接抚养子女的父或母，有权利探望子女,182
不利于子女身心健康，可以中止探望,183
存在有效遗嘱,184
协议情形,185
两周岁以下的子女，一般随母方生活,186
双方条件基本相同,187
母方有抚养条件不尽抚养义务，而父方要求子女随其生活,188
不尽抚养义务，不宜与子女共同生活,189
已做绝育手术或因其他原因丧失生育能力,190
父母双方对10周岁以上的未成年子女随父或随母生活发生争执的，应考虑该子女的意见。,191
子女随其生活时间较长，改变生活环境对子女健康成长明显不利,192
没有抚养条件，不宜与子女共同生活,193
母方的经济能力及生活环境对抚养子女明显不利,194
品行不端，不宜与子女共同生活,195
母方的品行不端不利于子女成长,196
母方患有久治不愈的传染性疾病或其他严重疾病，子女不宜与其共同生活,197
患有久治不愈的传染性疾病或其他严重疾病，不宜与子女共同生活,198
无其他子女，而另一方有其他子女,199
患有能够治好的疾病,200
子女单独随（外）祖父母共同生活多年，且（外）祖父母要求并且有能力照顾（外）孙子女,201
母方因违法犯罪被判服刑不可能抚养子女,202
双方未办理结婚登记手续,203
给付彩礼,204
办理结婚登记手续，婚前给付导致给付人生活困难,205
双方办理结婚登记手续但确未共同生活,206
无有效遗嘱，由法定继承第一顺位人继承,207
继承人以外的对被继承人扶养较多的人,208
放弃继承权并书面确认,209
无有效遗嘱，无第一顺序继承人，由法定继承第二顺位人继承,210
有遗赠扶养协议,211
无有效遗嘱，无第一顺位、第二顺位继承人，由代位继承人继承,212
伪造、篡改或者销毁遗嘱，情节严重的,213
胎儿,214
故意杀害被继承人的,215
对继承人以外的依靠被继承人抚养的缺乏劳动能力又没有生活来源的人,216
遗弃被继承人的，或者虐待被继承人情节严重的,217
婚前为用于婚后家庭共同生活所负债务,218
婚姻关系存续期间，用于夫妻共同生活或共同生产、经营活动所负的债务,219
一方以个人名义超出家庭日常生活需求所负债务,220
一方赌博所负债务,221
债权人和债务人明确约定为个人债务的,222
一方进行违法犯罪活动所负债务,223
夫妻双方共同签字,224
夫妻一方事后追认等共同意思表示所负的债务,225
一方婚前所负个人债务,226
一方与第三人串通、虚构所负的债务,227
一方吸毒所负债务,228
