案由名称,描述模板,
房屋买卖,双方签订/未签订房屋买卖合同或其他协议，约定了x内容，x违反x约定存在x违约行为（如:不办理产权、未按期交付房屋、不支付购房款等），导致x结果。（请具体描述违约行为及后果）,
保证合同,x年x月x日，x向x提供保证，签订/未签订保证合同，约定保证范围为x，保证方式为x，保证期限是否届满，x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果）。,
产品责任,x年x月x日，购买了x产品，产品存在x问题，（请具体描述过程，如不符合国家安全标准、质量存在问题等），造成了x损害后果。（请具体描述结果，如财物毁损、造成严重烧伤等）,
赠与合同,x年x月x日，签订/口头约定赠与合同，赠与物为x，赠与人交付/未交付赠与物，x违反x义务（请具体描述违约行为及后果）。,
租赁合同,双方自愿签订/未签订《租房合同》/其他协议，约定x内容，x存在x违约行为（如:未足额支付房租、房子有问题等），造成x结果（请具体描述违约行为及后果）。,
抵押合同,x年x月x日，为何事签订/未签订抵押合同，办理/未办理抵押登记，抵押期限x个月/年，抵押期限是否届满，债务清偿/未清偿完毕或满足/不满足抵押权实现条件。（请具体描述过程及结果）,
融资租赁合同,x年x月x日，为何事签订/未签订融资租赁合同，租赁期限x个月/年，租赁期限是否届满，债务清偿/未清偿完毕。（请具体描述过程及结果）,
交通事故纠纷,"有/没有交警部门出具的《交通事故责任认定书》，如有，则根据《交通事故责任认定书》对方负有何种责任（请具体描述，如:全部/主要/次要/没有责任）,事故造成/未造成人身或财产损害（请具体描述，如死亡、车辆受损等），属于/不属于在执行工作任务期间发生交通事故，驾驶者是/不是车主本人，车上有/没有其他乘客等。（请具体描述过程及结果）",
人身伤害赔偿,"有/没有交警部门出具的《交通事故责任认定书》，如有，则根据《交通事故责任认定书》对方负有何种责任（请具体描述，如:全部/主要/次要/没有责任）,事故造成/未造成人身损害（请具体描述，如死亡、受伤等），属于/不属于在执行工作任务期间发生交通事故，驾驶者是/不是车主本人等。（请具体描述过程及结果）",
财产损失赔偿,"有/没有交警部门出具的《交通事故责任认定书》，如有，则根据《交通事故责任认定书》对方负有何种责任（请具体描述，如:全部/主要/次要/没有责任）,事故造成/未造成财产损害（请具体描述，如死亡、车辆受损等），属于/不属于在执行工作任务期间发生交通事故，驾驶者是/不是车主本人等。（请具体描述过程及结果）",
保险赔付,"有/没有交警部门出具的《交通事故责任认定书》，如有，则根据《交通事故责任认定书》对方负有何种责任（请具体描述，如:全部/主要/次要/没有责任）,事故造成/未造成人身或财产损害（请具体描述，如死亡、车辆受损等），购买/没有购买机动车强制责任险以及商业险。（请具体描述过程及结果）",
医药费赔偿,"有/没有交警部门出具的《交通事故责任认定书》，如有，则根据《交通事故责任认定书》对方负有何种责任（请具体描述，如:全部/主要/次要/没有责任）,事故造成/未造成人身损害（请具体描述，如死亡、受伤等），医疗费用x元，属于/不属于在执行工作任务期间发生交通事故，驾驶者是/不是车主本人等。（请具体描述过程及结果）",
误工费赔偿,"有/没有交警部门出具的《交通事故责任认定书》，如有，则根据《交通事故责任认定书》对方负有何种责任（请具体描述，如:全部/主要/次要/没有责任）,事故造成/未造成人身损害（请具体描述，如死亡、受伤等），误工x天，工资x元/天，属于/不属于在执行工作任务期间发生交通事故，驾驶者是/不是车主本人等。（请具体描述过程及结果）",
违章扣分,x年x月x日，驾驶校车/危险品运输车/摩托车/公路客运汽车/货车等（请详细描述驾驶车辆类型），在高速公路|城市快速路等道路上行驶（请详细描述道路类型），超载/超速/故意遮挡、污损机动车号牌等（请详细描述违章行为）。,
土地承包,x年x月x日，x承包x土地，双方签订/未签订土地承包合同（协议），承包方支付/未支付承包费，发包方交付/未交付约定的土地，及合同履行过程中x违反约定存在x行为，造成x后果（请具体描述违约行为及后果）。,
委托合同,x年x月x日，x委托x做x事，双方签订/未签订委托合同，一方履行/未履行合同，另一方支付/未支付费用，及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果）。,
消费者权利保护,x年x月x日，x购买了x服务/商品，经营者存在x问题（请具体描述问题，如存在欺诈问题），服务/商品存在x问题（请具体描述问题，如不符合国家安全标准、质量存在问题等），造成x损害后果（请具体描述后果）。,
建设用地使用权,x年x月x日，签订/未签订建设用地使用权合同，一方履行/未履行合同义务，另一方支付/未支付费用，及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果）。,
建设工程合同,x年x月x日，双方签订/未签订建设工程合同，一方履行/未履行合同合同义务，另一方支付/未支付费用，及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果）。,
物业服务,x年x月x日，双方签订/未签订物业服务合同，约定/未约定违约金，物业公司存在/不存在安全隐患，提供履行/未提供约定的物业服务，业主支付/未支付物业费，以及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果，如重复收费、妨碍管理等）。,
中介合同,x年x月x日，双方签订/未签订中介合同，约定/未约定违约金或定金，中介人促成/未促成合同成立，委托人支付/未支付报酬，及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果）。,
技术开发合同,x年x月x日，双方签订/未签订技术开发合同，约定/未约定违约金或定金，出现/未出现无法克服的技术困难，开发人完成/未完成技术开发，委托人支付/未支付报酬，以及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果，如：未按约提供技术指导或技术资料、未按约定进行投资等）。,
技术服务合同,x年x月x日，双方签订/未签订技术服务合同，约定/未约定违约金或定金，受托人或委托人利用/未利用对方的技术资料或工作成果完成新的技术成果，受托人完成/未完成服务工作，委托人支付/未支付报酬，以及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果，如未按约配合工作、逾期接受工作成果等）。,
技术转让合同,x年x月x日，双方签订/未签订技术转让合同，约定/未约定违约金或定金，让与人或受让人违反/未违反保密义务，存在/不存在非法垄断技术或者侵害他人技术成果的情况，让与人转让/未转让技术，受让人支付/未支付费用，以及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果，如未按约提供技术资料或协助等）。,
技术咨询合同,x年x月x日，双方签订/未签订技术咨询合同，约定/未约定违约金或定金，存在/不存在非法垄断技术或者侵害他人技术成果的情况，受托人或委托人利用/未利用对方的技术资料或工作成果完成新的技术成果，受托人提供/未提供咨询报告，委托人支付/未支付报酬，以及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果，如委托人未按约提供资料或阐明问题）。,
股权转让,x年x月x日，双方签订/未签订股权转让合同，约定/未约定违约金或定金，其它股东主张/未主张优先购买权，属于/不属于名义股东或原股东出让股权的情形、受让人的姓名或者名称已记载/未记载于股东名册，受让人支付/未支付转让款，以及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果）。,
运输合同,x年x月x日，签订运输合同/搭乘车辆，约定/未约定违约金，旅客或托运人支付/未支付运输费用，是否存在违约行为（请具体描述，如货物受损、旅客伤亡或将人摔伤、将人撞倒等），是否存在故意或重大过失（如未能正常运输、托运人申报不实等），以及造成了x损害后果。（请具体描述结果，如骨折、高位截肢、货物受损等）,
仓储合同,x年x月x日，签订/未签订仓储合同，约定/未约定违约金，提供/未提供仓储服务，支付/未支付费用，x存在x违约行为（请具体描述过程，如贬值、损坏、逾期提货、擅自移动、发生火灾、寄存人未告知真实情况等），以及造成了x损害后果。,
承揽合同,x年x月x日，x委托x加工定做x，双方签订/未签订承揽加工合同，约定费用x元，履行/未履行合同义务，支付/未支付费用，及合同履行过程中x违反x约定存在x行为，造成x后果（请具体描述违约行为及后果，如:质量没有达到约定标准、承揽人擅自将主要工作交给第三人、定做人有过错等）,
触电人身损害,x年x月x日，x因触电（请具体描述触电过程、原因，如因电力运行事故触电、高压触电等），造成x损害结果（请具体描述损害后果，如被电击致X级残疾、被电击致死等）。,
道路施工损害,x年x月x日，x在x道路，因地面施工/地下设施（请具体描述过程，如掉进下水道里、翻车、爆胎等），造成x损害结果（请具体描述结果，如受伤、致X级残疾、死亡、财产损失等），道路管理者是否尽到了管理职责（请具体描述，如没有设置明显标志、未采取安全措施等）。,
公共场所损害,x年x月x日，在x地方（如:餐馆、宾馆等公共场所），遭受了x损害（请具体描述过程，如遭到殴打、因地滑摔倒、被货架砸到等），造成了x损害结果（请具体描述结果，如受伤、致X级残疾、死亡、财产损失等），管理人是否存在x过错（如安全警示标志设立不规范、未尽监督管理责任等）。,
道路通行损害,x年x月x日，x在x公共道路，因x的x行为妨碍了通行（请具体描述过程，如在路面堆放物品导致车辆侧翻等），造成x损害结果（请具体描述结果，如受伤、致X级残疾、死亡、财产损失等），道路管理者是否尽到了清理、防护、警示等管理义务。,
监护人责任,x年x月x日，被监护人x对受害人实施了x行为（请具体描述过程，如戳伤、撞倒等），造成了x损害后果。（请具体描述结果，如骨折、全身多处擦伤等）,
建筑倒塌损害,x年x月x日，x在x场所，因建筑物/构筑物倒塌（请具体描述过程，如建筑物倒塌、坍塌、塌陷等），对受害人造成x损害后果（请具体描述结果，如受伤、致x级残疾、死亡、严重精神损害、财产损失等），建筑物是否有质量瑕疵，所有人、管理人、使用人或者第三人是否存在过错。,
教育机构责任,x年x月x日，受害人在x学校接受教育，在校期间，遭遇了x伤害（请具体描述过程，如被虐待、被猥亵、被殴打等），侵权人是谁（如教育机构的员工、教师，教育机构之外的第三人等），对受害人造成了x损害后果（请具体描述结果，如受伤、致X级残疾、死亡、严重精神损害、财产损失等），教育机构是否尽到了教育、管理职责。,
名誉权与荣誉权,x年x月x日，x实施了x侵权行为（请具体描述过程，如侮辱、诽谤、新闻报道失实、非法剥夺荣誉等），对x造成了x损害后果（请具体描述结果，如社会评价降低、名誉受损、荣誉被剥夺、经济损失、严重精神损害等）。,
人身损害,x年x月x日，x实施了x侵权行为（请具体描述过程，如殴打、性侵、捅伤、泼硫酸等），侵权人是否故意，造成了x损害后果（请具体描述结果，如受伤、致X级残疾、死亡、严重精神损害、财产损失等）。,
动物致人损害,x年x月x日，x被x动物伤害（请具体描述过程，如被猫狗抓伤咬伤、撞倒、为闪避而翻车等），造成x损害后果（请具体描述结果，如受伤、致X级残疾、死亡、严重精神损害、财产损失等），动物饲养人是否违反管理规定、是否采取了安全措施，受害者是否存在故意挑逗动物行为（请具体描述）。,
物件脱落损害,x年x月x日，x在x场所，x因物件脱落/坠落遭受损害（请具体描述过程及结果，如建筑物外墙脱落砸伤人、车被砸坏等），造成x损害后果（请具体描述结果，如受伤、致X级残疾、死亡、严重精神损害、财产损失等），所有人、管理人或者使用人是否尽到了安全保障义务（如提醒、设置标志等）。,
相邻关系,x与x存在/不存在相邻关系（如:房屋、土地、道路相邻），x实施了x行为（请具体描述过程，如擅自改建、排放粪便、漏水、噪音等），给x造成x损害后果（请具体描述结果，如影响排水、对日照构成影响、财产损失、精神损害等）。,
肖像权,x年x月x日，x实施了x侵权行为（请具体描述过程，如未经x的同意制作、使用、公开x的肖像、丑化、污损x的肖像等），对x造成了x损害后果（请具体描述损害后果，如严重精神损害、财产损失等）。,
姓名权,x年x月x日，x实施了x侵权行为（请具体描述过程，如冒名担保、盗用身份证复印件等），对x造成了x损害后果（请具体描述结果，如经济受损害、造成精神伤害等）。,
医疗损害,x年x月x日，x在医院接受治疗，因医院x行为（请具体描述过程，如销毁病历、误诊、用错药、手术失误等），造成x损害后果（请具体描述结果，如留下后遗症、病情加重、致X级残疾、死亡、严重精神损害等）。,
隐私权和个人信息保护,x年x月x日，x实施了x侵权行为（请具体描述过程，如窃取个人信息、未经同意，进入、拍摄、窥视x的住宅、宾馆房间等私密空间、未经同意，拍摄、窥视x身体的私密部位等），对x造成了x损害后果（请具体描述，如造成精神伤害等）。,
不当得利,x年x月x日，x因x原因获得利益（请具体描述过程，如x收钱收多了、租房合同解除后没有把押金还给承租人等），是否致使他人的利益受损（请具体描述，如x付钱付错人、付多了等）。,
高空抛物,x年x月x日，在x地点，x因高空抛物（请具体描述过程，如从x楼扔下垃圾、烟头等）造成了x损害后果（请具体描述结果，如砸伤、致X级残疾、死亡、严重精神损害、车被砸坏等），是否已找到抛物者。,
业主权,x年x月x日，x侵害业主权益（请具体描述过程，如未经有利害关系的业主一致同意将住改商、强占共有停车位、阻塞消防通道、擅自拆毁承重墙等）。,
善意取得,x年x月x日，x对x物有/没有所有权，y以合理/不合理价格（市场价/低于市场价）从x那里购买了该物，该物是否已经交付。,
,,
,,
,,
,,
