schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
押金,若押金，押金返还均未识别，则不作审核，否则都需审核,,,,未识别,,押金条款缺失或约定不明确，建议补充完整。租赁合同通常约定承租人支付相当于1-3个月租金的押金给出租人，押金的数额建议控制在合同总金额的20%以内。,中,,押金主要用于担保租金的支付，防止欠租；对租赁物的合理使用，防止对租赁物的损害。,,押金合理性审核,合同金额审核
押金返还,若押金，押金返还均未识别，则不作审核，否则都需审核,,,,未识别,,押金返还条款缺失或约定不明确，建议补充完整。,中,,押金主要用于担保租金的支付，防止欠租；对租赁物的合理使用，防止对租赁物损害。,,押金返还明确性约定,合同金额审核
支付方式,识别,微信|银行账号|收款账户|支付宝|现金,,,未识别,,支付方式条款缺失或约定不明确，建议补充完整。应在合同中写明租金及押金的支付方式，写明以银行转账或微信或支付宝的方式支付，并明确账号信息。,高,,应向合同约定的企业账户或个人账户支付款项，切勿向业务人员及其他个人账户支付款项。转账支付应保留转账凭证，现金支付应 要求出租方出具收据。,,支付方式风险审核,合同履行条款审核
收款账户,识别,,,应向合同约定的企业账户或个人账户支付款项，切勿向业务人员及其他个人账户支付款项。转账支付应保留转账凭证，以现金付款的，应保留好收条收据。,未识别,,收款账户条款缺失或约定不明确，建议补充完整。应在合同中写明租金及押金的微信、支付宝或银行账户收款账号信息，不建议以现金结算。以现金付款的，应保留好收条收据。,高,,收款账户信息关系到承租人是否按合同约定完成租金支付。,,收款账户明确性审核,合同履行条款审核
支付周期,支付周期审核,,一般的支付周期有按天结、按月结、按季度结、按年结，是一次性付清还是分期付清等。合同中双方当事人在充分考虑各自风险最小化的基础上约定租金支付的具体周期，以防出现误解。,一般的支付周期有按天结、按月结、按季度结、按年结，是一次性付清还是分期付清等。合同中双方当事人在充分考虑各自风险最小化的基础上约定租金支付的具体周期，以防出现误解。,未识别,,支付周期条款缺失或约定不明确，建议补充完整。为了规避风险，双方应协商合理的支付周期。,高,,支付周期长短将直接影响合同双方的履约风险,支付不合理，建议核实或修改,租金周期不合理审核,履约风险
支付期限,识别,,,,未识别,,支付期限条款缺失或约定不明确，建议补充完整。为了规避风险，双方应协商具体的租金支付期限。,高,,支付期限将直接影响合同双方的履约风险。如未约定租金支付期限可能导致出租人与承租人的合同履行争议。,,支付期限审核,合同履行条款审核
计租模式,识别,一般有普遍计租、工作量计租、台版计租三种模式，建议根据合同类型选择最适宜的计租模式。,,,未识别，不作审核,,,低,,,,租金明确性审核,合同金额审核
交付方式,识别,履行方式|交货方式,,,未识别,,"交付方式条款缺失或约定不明确，建议补充完整。
履行方式不明的，当事人之间可以协议补充，无法达成补充协议的，按照最有利于合同实现目的的方式履行。",高,【《中华人民共和国民法典》第七百零八条】出租人应当按照约定将租赁物交付承租人，并在租赁期限内保持租赁物符合约定的用途。,租赁合同中应写明具体的交付时间及地点，完成交付后最好留存相应的证明文件以避免不必要的纠纷。,,交付模式审核,合同履行条款审核
验收期限,识别,,,,未识别,,"验收期限条款缺失或约定不明确，建议补充完整。
验收主要包括表面验收和质量验收，建议在合同中约定一定期间的验收期限以避免双方产生质量纠纷后无法救济的情形。",中,,对租赁物验收期限的约定关系到合同中承租方正常使用租赁物与出租方的合同义务完成。,,交付验收期限审核,合同验收条款审核
验收标准,识别,产品质量|技术指标|验收标准|合格标准,,,未识别,,"验收标准条款缺失或约定不明确，建议补充完整。
验收主要包括表面验收和质量验收，建议在合同中约定可量化的具体验收标准，以避免双方产生质量纠纷后无法救济的情形。",中,,对租赁物的验收标准关系到合同中承租方的正常使用与获得收益，应在合同签订过程中予以明确约定，必要时可在附件中载明。,,交付验收标准审核,合同验收条款审核
保养,识别,,,,未识别，不作审核,,,中,,当事人之间可以就租赁物的保养费进行约定，若双方约定了保养期间，那么租赁期限内正常维护保养的时间视为正常运营，仍应正常计算租金。,,妥善保管责任归属审核,妥善保管责任
保险费缴纳主体,识别,缴纳.*保险|交强险|车损险|第三人责任险|盗抢险,,,未识别,,租赁物保险条款缺失或约定不明确，建议补充完整。,中,,车辆租赁合同中，承租人应询问清楚车辆的投保情况，避免承担高额赔偿责任。,,妥善保管责任归属审核,妥善保管责任
妥善保管,识别,对标的物的使用约定应当明确，以避免承租人对标的物进行超负荷、掠夺性使用，致使租期届满后租赁物无法继续使用的风险。,承租人应按约定使用租赁物，若因个人原因造成租赁物毁损、灭失的，需要承担赔偿责任。,,未识别,,租赁损毁灭失责任承担条款缺失或约定不明确，建议补充完整。,中,【《中华人民共和国民法典》第七百零九条】承租人应当按照约定的方法使用租赁物。对租赁物的使用方法没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，应当根据租赁物的性质使用。|【《中华人民共和国民法典》第七百一十四条】承租人应当妥善保管租赁物，因保管不善造成租赁物毁损、灭失的，应当承担赔偿责任。,,,妥善保管责任归属审核,妥善保管责任
维修,识别,维修|修理,双方可以自由协商确定具体的维修责任及维修范围，若双方当事人未对此问题进行明确约定时，出租方应当按照法律规定，承担维修义务。,租赁物需要维修的，承租人可以请求出租人承担维修责任或在自行维修后由出租方负担维修费用。,未识别,,租赁维修义务条款缺失或约定不明确，建议补充完整。,中,【《中华人民共和国民法典》第七百一十二条】出租人应当履行租赁物的维修义务，但是当事人另有约定的除外。|【《中华人民共和国民法典》第七百一十三条】承租人在租赁物需要维修时可以请求出租人在合理期限内维修。出租人未履行维修义务的，承租人可以自行维修，维修费用由出租人负担。因维修租赁物影响承租人使用的，应当相应减少租金或者延长租期。,,,维修责任归属审核,维修责任
转租,识别,,承租人转租未经出租人同意的，出租人可以要求解除合同。,承租人转租租赁物的应当经过出租方的同意或在六个月内未提异议，否则需要承担被解除合同的风险。,未识别,,转租条款缺失或约定不明确，建议补充完整。双方可对转租作出详细约定。,中,"【《中华人民共和国民法典》第七百一十六条】 承租人经出租人同意,可以将租赁物转租给第三人。承租人转租的,承租人与出租人之间的租赁合同继续有效;第三人造成租赁物损失的,承租人应当赔偿损失。承租人未经出租人同意转租的,出租人可以解除合同。|【《中华人民共和国民法典》第七百一十七条】 承租人经出租人同意将租赁物转租给第三人,转租期限超过承租人剩余租赁期限的,超过部分的约定对出租人不具有法律约束力,但是出租人与承租人另有约定的除外。|【《中华人民共和国民法典》第七百一十八条】 出租人知道或者应当知道承租人转租,但是在六个月内未提出异议的,视为出租人同意转租。",,,转租许可审核,合同转租审核
出租人解除,权利对等审核,合同解除|解除合同,合同解除分为法定解除与约定解除。约定解除指当事人协商一致，可以解除合同；法定解除指合同解除的条件须满足法律规定。,"法定解除情形包括：
1．因不可抗力致使不能实现合同目的；
2．在履行期限届满之前，当事人一方明确表示或者以自己的行为表明不履行主要债务。此即债务人拒绝履行，也称毁约；
3．当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行。此即债务人迟延履行；
4．当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；
5．法律规定的其他情形。",未识别,,合同解除条款缺失或约定不明确，建议补充完整。双方可对合同解除情形作出详细约定。,中,【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第七百二十二条】承租人无正当理由未支付或者迟延支付租金的，出租人可以请求承租人在合理期限内支付；承租人逾期不支付的，出租人可以解除合同。|【《中华人民共和国民法典》第七百二十四条】有下列情形之一，非因承租人原因致使租赁物无法使用的，承租人可以解除合同：（一）租赁物被司法机关或者行政机关依法查封、扣押；（二）租赁物权属有争议；（三）租赁物具有违反法律、行政法规关于使用条件的强制性规定情形。|【《中华人民共和国民法典》第七百二十九条】因不可归责于承租人的事由，致使租赁物部分或者全部毁损、灭失的，承租人可以请求减少租金或者不支付租金；因租赁物部分或者全部毁损、灭失，致使不能实现合同目的的，承租人可以解除合同。|【《中华人民共和国民法典》第七百三十条】当事人对租赁期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，视为不定期租赁；当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第七百三十一条】租赁物危及承租人的安全或者健康的，即使承租人订立合同时明知该租赁物质量不合格，承租人仍然可以随时解除合同。,,合同解除权利不对等，建议核实或修改,合同解除条款审核,合同解除条款审核
承租人解除,权利对等审核,合同解除|解除合同,合同解除分为法定解除与约定解除。约定解除指当事人协商一致，可以解除合同；法定解除指合同解除的条件须满足法律规定。,"法定解除情形包括：
1．因不可抗力致使不能实现合同目的；
2．在履行期限届满之前，当事人一方明确表示或者以自己的行为表明不履行主要债务。此即债务人拒绝履行，也称毁约；
3．当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行。此即债务人迟延履行；
4．当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；
5．法律规定的其他情形。",未识别,,合同解除条款缺失或约定不明确，建议补充完整。双方可对合同解除情形作出详细约定。,中,【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第七百二十二条】承租人无正当理由未支付或者迟延支付租金的，出租人可以请求承租人在合理期限内支付；承租人逾期不支付的，出租人可以解除合同。|【《中华人民共和国民法典》第七百二十四条】有下列情形之一，非因承租人原因致使租赁物无法使用的，承租人可以解除合同：（一）租赁物被司法机关或者行政机关依法查封、扣押；（二）租赁物权属有争议；（三）租赁物具有违反法律、行政法规关于使用条件的强制性规定情形。|【《中华人民共和国民法典》第七百二十九条】因不可归责于承租人的事由，致使租赁物部分或者全部毁损、灭失的，承租人可以请求减少租金或者不支付租金；因租赁物部分或者全部毁损、灭失，致使不能实现合同目的的，承租人可以解除合同。|【《中华人民共和国民法典》第七百三十条】当事人对租赁期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，视为不定期租赁；当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第七百三十一条】租赁物危及承租人的安全或者健康的，即使承租人订立合同时明知该租赁物质量不合格，承租人仍然可以随时解除合同。,,合同解除权利不对等，建议核实或修改,合同解除条款审核,合同解除条款审核
租赁物返还,识别,,,,未识别,,租赁物返还条款缺失或约定不明确，建议补充完整。返还的租赁物应当符合按照约定或者根据租赁物的性质使用后的状态。,高,【《中华人民共和国民法典》第七百三十三条】租赁期限届满，承租人应当返还租赁物。返还的租赁物应当符合按照约定或者根据租赁物的性质使用后的状态。,,,租赁物返还标准审核,合同履行条款审核
出租人违约责任,违约金审核|违约责任对等审核,,,,未识别,,"出租人违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,"【《中华人民共和国民法典》第五百七十七条】 当事人一方不履行合同义务或者履行合同义务不符合约定的,应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百九十二条】 当事人都违反合同的,应当各自承担相应的责任。
当事人一方违约造成对方损失,对方对损失的发生有过错的,可以减少相应的损失赔偿额。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定违约金的，违约金不得超过损失的30%。|违约责任约定不对等，建议核实或修改。,违约责任合理性、对等性审核,合同违约条款审核
承租人违约责任,违约金审核|违约责任对等审核,,,,未识别,,"承租人违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,"【《中华人民共和国民法典》第五百七十七条】 当事人一方不履行合同义务或者履行合同义务不符合约定的,应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百九十二条】 当事人都违反合同的,应当各自承担相应的责任。
当事人一方违约造成对方损失,对方对损失的发生有过错的,可以减少相应的损失赔偿额。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定违约金的，违约金不得超过损失的30%。|违约责任约定不对等，建议核实或修改。,违约责任合理性、对等性审核,合同违约条款审核
争议解决,识别,争议.*(解决|仲裁|起诉|诉讼),,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
为避免诉累，应尽可能约定对己方有利的管辖法院或仲裁机构。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。",中,【《中华人民共和国民事诉讼法》第二十四条】因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。|【《中华人民共和国民事诉讼法》第三十五条】合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。,,争议解决条款明确性审核,争议解决审核
未尽事宜,识别,未尽.*事|其他.*事项|未约定,,,未识别，不作审核,,,低,,,,未尽事项补充条款审核,其他约定
合同生效,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
一般合同自双方签字或盖章后生效。",中,【《中华人民共和国民法典》第四百九十条】当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。|【《中华人民共和国民法典》第五百零二条】依法成立的合同，自成立时生效，但是法律另有规定或者当事人另有约定的除外。依照法律、行政法规的规定，合同应当办理批准等手续的，依照其规定。未办理批准等手续影响合同生效的，不影响合同中履行报批等义务条款以及相关条款的效力。应当办理申请批准等手续的当事人未履行义务的，对方可以请求其承担违反该义务的责任。依照法律、行政法规的规定，合同的变更、转让、解除等情形应当办理批准等手续的，适用前款规定。,,,生效条款审核,合同生效审核
合同附件,识别,,,,未识别,,合同附件缺失，建议补充完整。,中,,合同附件可以是租赁物附属物清单，现状照片，租赁物合格证等。,,合同附件审核,合同附件审核
签订日期,识别,,,,未识别,,签订日期缺失，建议补充完整。,中,"【《中华人民共和国民法典》第五百零二条】 依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",签订日期为合同成立日期。,,合同落款日期审核,合同签订审核
签订地点,识别,,,,未识别,,签订地点缺失，建议补充完整。,中,"【《中华人民共和国民法典》第四百九十二条】承诺生效的地点为合同成立的地点。
采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。|【《中华人民共和国民法典》第四百九十三条】当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。",合同签订地关系到合同发生纠纷时的管辖法院，应当在签订合同时明确。,,合同签署地条款审核,合同签订审核
租赁物权属,识别,,,,未识别,,权属条款缺失或约定不明确，建议补充完整。建议在租赁合同中写明租赁物的所有人或合法使用人，并提供所有权证明或其他能够证明权利人可对外出租租赁物的合法性文件。,中,【《中华人民共和国民法典》第七百二十三条】 因第三人主张权利，致使承租人不能对租赁物使用、收益的，承租人可以请求减少租金或者不支付租金。                   第七百二十五条 租赁物在承租人按照租赁合同占有期限内发生所有权变动的，不影响租赁合同的效力。,出租人有权出租租赁物构成租赁合同合同合法性、有效性和可履行的基础。,,租赁物权利无瑕疵审核,合同标的物审核
租期内其他费用,识别,,,,未识别,,"租期内其他费用条款缺失或约定不明确，建议补充完整。
其他费用条款包括但不限于能耗费、场地费、油费、管理费等因使用租赁物而产生的费用。",中,,租期内其他费用承担主体应明确约定，以防出现争议。,,相关费用明确性审核,其他费用
不可抗力,识别,,,,未识别,,不可抗力条款缺失或约定不明确，建议补充完整。一般应规定的内容包括：不可抗力事件的范围，事件发生后通知对方的期限，出具证明文件的机构以及不可抗力事件的后果。,中,【《中华人民共和国民法典》第一百八十条】因不可抗力不能履行民事义务的，不承担民事责任。法律另有规定的，依照其规定。不可抗力是不能预见、不能避免且不能克服的客观情况。|【《中华人民共和国民法典》第五百九十条】当事人一方因不可抗力不能履行合同的，根据不可抗力的影响，部分或者全部免除责任，但是法律另有规定的除外。因不可抗力不能履行合同的，应当及时通知对方，以减轻可能给对方造成的损失，并应当在合理期限内提供证明。当事人迟延履行后发生不可抗力的，不免除其违约责任。,不可抗力是指不能预见、不能避免并不能克服的客观情况。不可抗力条款是一种免责条款，即免除由于不可抗力事件而违约的一方的违约责任。,,不可抗力条款审核,合同履行条款审核
通知与送达,识别,,,,未识别,,通知与送达条款缺失或约定不明确，建议补充完整。,中,【《最高人民法院关于进一步推进案件繁简分流优化司法资源配置的若干意见》第三条】完善送达程序与送达方式。当事人在纠纷发生之前约定送达地址的，人民法院可以将该地址作为送达诉讼文书的确认地址。,通知与送达约定详细能进一步优化争议解决程序，防止因诉讼文书送达不能，而出现公告送达时的漫长等待。,,通知与送达条款审核,通知与送达审核
空白条款审核,识别,,,,未识别，不作审核,,存在空白合同条款，建议删除或根据自身情况具体约定。,高,,空白的合同条款存在发生争议后补填的风险，可能被认定为无限授权,,空白条款情形审核,不合理情形审核
