schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify,,,
物业服务费收费方式,识别,,,,未识别,,收费方式条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国民法典》第九百三十八条】物业服务合同的内容一般包括服务事项、服务质量、服务费用的标准和收取办法、维修资金的使用、服务用房的管理和使用、服务期限、服务交接等条款。物业服务人公开作出的有利于业主的服务承诺，为物业服务合同的组成部分。物业服务合同应当采用书面形式。,收费方式一般包括包干制或酬金制，因此合同双方在签订物业服务合同时应当明确具体的收费方式，以避免收费标准不明产生不必要的纠纷。,,物业服务收费方式审核,服务费用的标准和收取办法,,,
物业服务费用,金额内部相等,物业费|物业服务费|物业管理费,在签订物业服务合同时，可以根据不同物业管理区域对各项服务内容的具体费用类别、数额以及是否另外收取其他费用进行明确约定，以避免费用约定不明产生不必要的纠纷。,合同中最好明确各项服务内容的具体费用，同时注意费用标准不能超过政府指导价。,未识别,,服务费用条款缺失或约定不明确，建议补充完整。物业服务收费应当遵循合理、公开以及费用与服务水平相适应的原则。,高,【《中华人民共和国物业管理条例》第四十一条】业主应当根据物业服务合同的约定交纳物业服务费用。业主与物业使用人约定由物业使用人交纳物业服务费用的，从其约定，业主负连带交纳责任。??已竣工但尚未出售或者尚未交给物业买受人的物业，物业服务费用由建设单位交纳。|【《物业服务条例》第四十条】物业服务收费应当遵循合理、公开以及费用与服务水平相适应的原则，区别不同物业的性质和特点，由业主和物业服务企业按照国务院价格主管部门会同国务院建设行政主管部门制定的物业服务收费办法，在物业服务合同中约定。,服务费用应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。,金额大小写不一致，建议核实。,物业费用合理性审核,服务费用的标准和收取办法,,,
公共能耗费分摊结算方式,识别,,,,未识别,,公共能耗费分摊结算方式条款缺失或约定不明确，建议补充完整。,高,,共用电梯、增压水泵、水系景观、中央空调等高能耗设施设备运行所需的能耗费用可约定按实际消耗向业主分摊，乙方代收代缴或者公共能耗费含在物业服务费中缴纳。,,公共能耗费用分摊方式审核,服务费用的标准和收取办法,,,
物业服务费计收日期,识别,,,,未识别,,物业服务费计收日期缺失或约定不明确，建议补充完整。,中,,物业服务费计收日期应具体明确，以防合同履行过程中发生争议。,,物业服务费计收日期明确性审核,服务费用的标准和收取办法,,,
物业服务费缴纳期限,识别,,,,未识别,,物业服务费缴纳期限条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国民法典》第九百四十四条】 业主应当按照约定向物业服务人支付物业费。物业服务人已经按照约定和有关规定提供服务的，业主不得以未接受或者无需接受相关物业服务为由拒绝支付物业费。业主违反约定逾期不支付物业费的，物业服务人可以催告其在合理期限内支付；合理期限届满仍不支付的，物业服务人可以提起诉讼或者申请仲裁。物业服务人不得采取停止供电、供水、供热、供燃气等方式催交物业费。,双方应当按照约定或法律规定行使权利履行义务，同时注意催收物业费不得采取停水停电等方式。,,缴费期限明确性审核,服务费用的标准和收取办法,,,
物业专项维修资金管理与使用,识别,,,,未识别,,物业专项维修资金管理与使用条款缺失或约定不明确，建议补充完整。专项维修资金属业主所有，专项用于物业保修期满后物业共用部位、共用设施设备的维修和更新、改造，不得挪作他用。,高,,专项维修资金是指由法律规定的由业主交纳的，专项用于住宅共用部位、共用设施设备保修期满后维修和更新、改造的资金。,,物业专项维修资金管理与使用审核,物业专项维修资金管理与使用,,,
物业管理用房基本信息,识别,,,,未识别,,物业服务用房基本信息条款缺失或约定不明确，建议补充完整。,中,【《中华人民共和国民法典》第九百三十八条】物业服务合同的内容一般包括服务事项、服务质量、服务费用的标准和收取办法、维修资金的使用、服务用房的管理和使用、服务期限、服务交接等条款。物业服务人公开作出的有利于业主的服务承诺，为物业服务合同的组成部分。物业服务合同应当采用书面形式。,物业管理用房，是指房地产开发建设中按照有关规定建设的，由开发建设单位以建造成本价一并转让给购房业主集体，用作物业管理办公、工作人员值班以及存放工具材料的用房。,,物业管理用房基本信息审核,物业管理用房,,,
物业服管理用房管理、使用,识别,,,,未识别,,物业服务用房管理、使用条款缺失或约定不明确，建议补充完整。,中,【《物业管理条例》第三十七条】物业管理用房的所有权依法属于业主。未经业主大会同意，物业服务企业不得改变物业管理用房的用途。|【《物业管理条例》第六十二条】违反本条例的规定，未经业主大会同意，物业服务企业擅自改变物业管理用房的用途的，由县级以上地方人民政府房地产行政主管部门责令限期改正，给予警告，并处1万元以上10万元以下的罚款；有收益的，所得收益用于物业管理区域内物业共用部位、共用设施设备的维修、养护，剩余部分按照业主大会的决定使用。,,,物业管理用房管理使用约定审核,物业管理用房,,,
物业经营范围,识别,,,,未识别,,物业经营范围条款缺失或约定不明确，建议补充完整。例如物业经营用房、规划内的停车场（库）、占用共有道路或者其他场地用于停放车辆的车位、利用共用部位、公共设施设备进行广告或相关场地进行摆摊设点、等经营活动的,中,,,,物业经营范围审核,物业的经营与管理,,,
物业经营收费标准,识别,,,,未识别,,物业经营收费标准条款缺失或约定不明确，建议补充完整。,中,,,,物业经营收费标准审核,物业的经营与管理,,,
物业经营管理费用,识别,,,,未识别,,物业经营管理费用条款缺失或约定不明确，建议补充完整。,中,,物业经营管理费用应具体明确，以防合同履行过程中发生争议。,,物业经营管理费用审核,物业的经营与管理,,,
物业管理区域内文体场地的相关费用,识别,,,,未识别，不作审核,,,低,,,,物业管理区域内文体场地的相关费用审核,物业的经营与管理,,,
经营性收益管理、公开,识别,,,,未识别，不作审核,,,低,【《中华人民共和国民法典》第九百四十三条】物业服务人应当定期将服务的事项、负责人员、质量要求、收费项目、收费标准、履行情况，以及维修资金使用情况、业主共有部分的经营与收益情况等以合理方式向业主公开并向业主大会、业主委员会报告。,,,透明公开要求审核,物业的经营与管理,,,
转委托,识别,,委托方若发现本应被委托方提供物业服务的由第三方提供，并且合同中没有约定的，可以主张行为无效或以此要求解聘被委托方。,被委托方应当按照合同约定提供物业服务，不得将全部服务内容转委托或支解后转委托给第三人，否则需要承担违约责任。,未识别，不作审核,,,中,【《中华人民共和国民法典》第九百四十一条】物业服务人将物业服务区域内的部分专项服务事项委托给专业性服务组织或者其他第三人的，应当就该部分专项服务事项向业主负责。物业服务人不得将其应当提供的全部物业服务转委托给第三人，或者将全部物业服务支解后分别转委托给第三人。,,,转委托条款约定,转委托,,,
甲方合同解除,权利对等审核,合同解除|解除合同,委托方享有合同任意解除权，委托方依照法定程序共同决定解聘物业服务人的，可以解除物业服务合同。,若合同解除对被委托方造成损失的，应当按照法律规定请求违约方赔偿相应损失。,未识别,,甲方合同条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第九百四十六条】业主依照法定程序共同决定解聘物业服务人的，可以解除物业服务合同。决定解聘的，应当提前六十日书面通知物业服务人，但是合同对通知期限另有约定的除外。依据前款规定解除合同造成物业服务人损失的，除不可归责于业主的事由外，业主应当赔偿损失。,解除合同的事由发生时，解除权人可以解除合同。,合同解除权利不对等，建议核实或修改,甲方解除合同条款审核,合同解除,,,
乙方合同解除,权利对等审核,合同解除|解除合同,,,未识别,,乙方合同解除条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第九百四十六条】业主依照法定程序共同决定解聘物业服务人的，可以解除物业服务合同。决定解聘的，应当提前六十日书面通知物业服务人，但是合同对通知期限另有约定的除外。依据前款规定解除合同造成物业服务人损失的，除不可归责于业主的事由外，业主应当赔偿损失。,解除合同的事由发生时，解除权人可以解除合同。,合同解除权利不对等，建议核实或修改,乙方解除合同条款审核,合同解除,,,
服务交接,识别,,合同中应当明确被委托人退出后的后续交接义务，以避免约定不明造成的资料缺失及拖延乱象。,被委托方退出后应当积极主动地按照合同约定或法律规定完成后续交接工作，避免产生不必要的纠纷。,未识别,,服务交接义务条款缺失或约定不明确，建议补充完整。合同中应当明确被委托人退出后的后续交接义务，以避免约定不明造成争议。,中,【《中华人民共和国民法典》第九百四十九条】物业服务合同终止的，原物业服务人应当在约定期限或者合理期限内退出物业服务区域，将物业服务用房、相关设施、物业服务所必需的相关资料等交还给业主委员会、决定自行管理的业主或者其指定的人，配合新物业服务人做好交接工作，并如实告知物业的使用和管理状况。原物业服务人违反前款规定的，不得请求业主支付物业服务合同终止后的物业费；造成业主损失的，应当赔偿损失。,合同终止后物业服务人应当主动履行交接义务，否则将会损失合同终止后的物业费；造成损失的，还需要承担赔偿责任。,,服务交接义务审核,服务交接,,,
甲方违约责任,违约金审核|违约责任对等审核,违约|违约解除|逾期|违约金|赔偿损失|诉讼费|律师费|保全费,,,未识别,,"违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。,违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定的违约金过高，建议核实或修改。,违约责任合理性、合规性审核,合同违约条款审核,,,
乙方违约责任,违约金审核|违约责任对等审核,违约|违约解除|逾期|违约金|赔偿损失|诉讼费|律师费|保全费,,,未识别,,"违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。,违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定的违约金过高，建议核实或修改。,违约责任合理性、合规性审核,合同违约条款审核,,,
争议解决,识别,,,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
为避免诉累，应尽可能约定对己方有利的管辖法院或仲裁机构。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。",中,【《中华人民共和国民事诉讼法》第二十四条】因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。|【《中华人民共和国民事诉讼法》第三十五条】合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。,,争议解决管辖条款审核,争议解决,,,
附件,识别,,,,未识别，不作审核,,,低,,,,合同附件审核,合同附件审核,,,
合同生效,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
一般合同自双方签字或盖章后生效。",中,【《中华人民共和国民法典》第四百九十条】当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。|【《中华人民共和国民法典》第五百零二条】依法成立的合同，自成立时生效，但是法律另有规定或者当事人另有约定的除外。依照法律、行政法规的规定，合同应当办理批准等手续的，依照其规定。未办理批准等手续影响合同生效的，不影响合同中履行报批等义务条款以及相关条款的效力。应当办理申请批准等手续的当事人未履行义务的，对方可以请求其承担违反该义务的责任。依照法律、行政法规的规定，合同的变更、转让、解除等情形应当办理批准等手续的，适用前款规定。,,,生效条款审核,合同生效审核,,,
未尽事宜,识别,,,,未识别，不作审核,,,低,,,,未尽事项补充条款审核,其他约定,,,
签字或盖章,识别,,,,未识别,,签字或盖章缺失,中,【《中华人民共和国民法典》第四百九十条】当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。,,,签字盖章一致性审核,合同签署审核,,,
签订时间,识别,,,,未识别,,签订日期缺失，建议补充完整。,中,"【《中华人民共和国民法典》第五百零二条】 依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",签订日期为合同成立日期。,,签订日期完整性审核,合同签署审核,,,
不可抗力,识别,,,,未识别,,不可抗力条款缺失或约定不明确，建议补充完整。一般应规定的内容包括：不可抗力事件的范围，事件发生后通知对方的期限，出具证明文件的机构以及不可抗力事件的后果。,中,【《中华人民共和国民法典》第一百八十条】因不可抗力不能履行民事义务的，不承担民事责任。法律另有规定的，依照其规定。不可抗力是不能预见、不能避免且不能克服的客观情况。|【《中华人民共和国民法典》第五百九十条】当事人一方因不可抗力不能履行合同的，根据不可抗力的影响，部分或者全部免除责任，但是法律另有规定的除外。因不可抗力不能履行合同的，应当及时通知对方，以减轻可能给对方造成的损失，并应当在合理期限内提供证明。当事人迟延履行后发生不可抗力的，不免除其违约责任。,不可抗力是指不能预见、不能避免并不能克服的客观情况。不可抗力条款是一种免责条款，即免除由于不可抗力事件而违约的一方的违约责任。,,不可抗力条款审核,合同履行条款审核,,,
空白条款审核,识别,,,,未识别，不作审核,,存在空白合同条款，建议删除或根据自身情况具体约定。,高,,空白的合同条款存在发生争议后补填的风险，可能被认定为无限授权,,空白条款情形审核,不合理情形审核,,,
通知与送达,识别,,,,未识别,,"通知与送达条款缺失，建议补充完整。通知与送达条款是为了方便签约各方互相发送通知而写明签约方的地址、邮箱等送达信息，目的在便于发送通知的基础上,进一步确保该通知的发送是有效的送达，优化争议解决程序，避免纠纷发生时因送达存在瑕疵而被认定为未及时、未效而承担不利后果，防止因诉讼文书送达不能，而出现公告送达时的漫长等待。",低,【《最高人民法院关于进一步推进案件繁简分流优化司法资源配置的若干意见》第三条】完善送达程序与送达方式。当事人在纠纷发生之前约定送达地址的，人民法院可以将该地址作为送达诉讼文书的确认地址。,,,通知与送达条款审核,通知与送达审核,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
