problem,suqiu,law_name,clause,content
婚姻家庭,增加抚养费,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第十八条,"子女要求增加抚育费有下列情形之一，父或母有给付能力的，应予支持。
（１）原定抚育费数额不足以维持当地实际生活水平的；
（２）因子女患病、上学，实际需要已超过原定数额的；
（３）有其他正当理由应当增加的。"
婚姻家庭,减少抚养费,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第七条,子女抚育费的数额，可根据子女的实际需要、父母双方的负担能力和当地的实际生活水平确定。有固定收入的，抚育费一般可按其月总收入的百分之二十至三十的比例给付。负担两个以上子女抚育费的，比例可适当提高，但一般不得超过月总收入的百分之五十。无固定收入的，抚育费的数额可依据当年总收入或同行业平均收入，参照上述比例确定。有特殊情况的，可适当提高或降低上述比例。
婚姻家庭,支付赡养费,《中华人民共和国婚姻法（2001修正）》,第二十一条,父母对子女有抚养教育的义务；子女对父母有赡养扶助的义务。子女不履行赡养义务时，无劳动能力的或生活困难的父母，有要求子女付给赡养费的权利。
婚姻家庭,支付赡养费,《中华人民共和国婚姻法（2001修正）》,第二十八条,有负担能力的祖父母、外祖父母，对于父母已经死亡或父母无力抚养的未成年的孙子女、外孙子女，有抚养的义务。有负担能力的孙子女、外孙子女，对于子女已经死亡或子女无力赡养的祖父母、外祖父母，有赡养的义务。
婚姻家庭,确认婚姻无效,《中华人民共和国婚姻法（2001修正）》,第十条,有下列情形之一的，婚姻无效：（一）重婚的；（二）有禁止结婚的亲属关系的；（三）婚前患有医学上认为不应当结婚的疾病，婚后尚未治愈的；（四）未到法定婚龄的。
婚姻家庭,确认婚姻无效,《中华人民共和国婚姻法（2001修正）》,第十一条,因胁迫结婚的，受胁迫的一方可以向婚姻登记机关或人民法院请求撤销该婚姻。受胁迫的一方撤销婚姻的请求，应当自结婚登记之日起一年内提出。被非法限制人身自由的当事人请求撤销婚姻的，应当自恢复人身自由之日起一年内提出。
婚姻家庭,确认婚姻无效,《中华人民共和国婚姻法（2001修正）》,第十二条,无效或被撤销的婚姻，自始无效。当事人不具有夫妻的权利和义务。同居期间所得的财产，由当事人协议处理；协议不成时，由人民法院根据照顾无过错方的原则判决。对重婚导致的婚姻无效的财产处理，不得侵害合法婚姻当事人的财产权益。当事人所生的子女，适用本法有关父母子女的规定。
婚姻家庭,夫妻共同债务,《最高人民法院关于适用<中华人民共和国婚姻法>若干问题的解释(二)》,第二十四条,债权人就婚姻关系存续期间夫妻一方以个人名义所负债务主张权利的，应当按夫妻共同债务处理。但夫妻一方能够证明债权人与债务人明确约定为个人债务，或者能够证明属于婚姻法第十九条第三款规定情形的除外。
婚姻家庭,夫妻共同债务,《最高人民法院关于适用<中华人民共和国婚姻法>若干问题的解释(二)》,第二十三条,债权人就一方婚前所负个人债务向债务人的配偶主张权利的，人民法院不予支持。但债权人能够证明所负债务用于婚后家庭共同生活的除外。
婚姻家庭,夫妻共同债务,《中华人民共和国婚姻法（2001修正）》,第四十一条,离婚时，原为夫妻共同生活所负的债务，应当共同偿还。共同财产不足清偿的，或财产归各自所有的，由双方协议清偿；协议不成时，由人民法院判决。
继承问题,遗产继承,《中华人民共和国继承法》,第七条,"继承人有下列行为之一的，丧失继承权：
（一）故意杀害被继承人的；
（二）为争夺遗产而杀害其他继承人的；
（三）遗弃被继承人的，或者虐待被继承人情节严重的；
（四）伪造、篡改或者销毁遗嘱，情节严重的。"
继承问题,遗产继承,《中华人民共和国继承法》,第十条,"遗产按照下列顺序继承：
第一顺序：配偶、子女、父母。
第二顺序：兄弟姐妹、祖父母、外祖父母。
继承开始后，由第一顺序继承人继承，第二顺序继承人不继承。没有第一顺序继承人继承的，由第二顺序继承人继承。
本法所说的子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。
本法所说的父母，包括生父母、养父母和有扶养关系的继父母。
本法所说的兄弟姐妹，包括同父母的兄弟姐妹、同父异母或者同母异父的兄弟姐妹、养兄弟姐妹、有扶养关系的继兄弟姐妹。"
继承问题,遗产继承,《中华人民共和国继承法》,第十一条,被继承人的子女先于被继承人死亡的，由被继承人的子女的晚辈直系血亲代位继承。代位继承人一般只能继承他的父亲或者母亲有权继承的遗产份额。
继承问题,遗产继承,《中华人民共和国继承法》,第十三条,同一顺序继承人继承遗产的份额，一般应当均等。对生活有特殊困难的缺乏劳动能力的继承人，分配遗产时，应当予以照顾。对被继承人尽了主要扶养义务或者与被继承人共同生活的继承人，分配遗产时，可以多分。有扶养能力和有扶养条件的继承人，不尽扶养义务的，分配遗产时，应当不分或者少分。继承人协商同意的，也可以不均等。
继承问题,遗产继承,《中华人民共和国继承法》,第十四条,对继承人以外的依靠被继承人扶养的缺乏劳动能力又没有生活来源的人，或者继承人以外的对被继承人扶养较多的人，可以分配给他们适当的遗产。
继承问题,遗产继承,《中华人民共和国继承法》,第二十五条,继承开始后，继承人放弃继承的，应当在遗产处理前，作出放弃继承的表示。没有表示的，视为接受继承。受遗赠人应当在知道受遗赠后两个月内，作出接受或者放弃受遗赠的表示。到期没有表示的，视为放弃受遗赠。
继承问题,遗产继承,《中华人民共和国继承法》,第二十八条,遗产分割时，应当保留胎儿的继承份额。胎儿出生时是死体的，保留的份额按照法定继承办理。
继承问题,遗产继承,《中华人民共和国继承法》,第三十一条,公民可以与扶养人签订遗赠扶养协议。按照协议，扶养人承担该公民生养死葬的义务，享有受遗赠的权利。公民可以与集体所有制组织签订遗赠扶养协议。按照协议，集体所有制组织承担该公民生养死葬的义务，享有受遗赠的权利。
继承问题,遗产继承,《中华人民共和国继承法》,第三十三条,继承遗产应当清偿被继承人依法应当缴纳的税款和债务，缴纳税款和清偿债务以他的遗产实际价值为限。超过遗产实际价值部分，继承人自愿偿还的不在此限。继承人放弃继承的，对被继承人依法应当缴纳的税款和债务可以不负偿还责任。
继承问题,遗产继承,《最高人民法院关于贯彻执行《中华人民共和国继承法》若干问题的意见》,第十四条,继承人伪造、篡改或者销毁遗嘱，侵害了缺乏劳动能力又无生活来源的继承人的利益，并造成其生活困难的，应认定其行为情节严重。
继承问题,遗产继承,《最高人民法院关于贯彻执行《中华人民共和国继承法》若干问题的意见》,第四十六条,继承人因放弃继承权，致其不能履行法定义务的，放弃继承权的行为无效。
继承问题,遗产继承,《最高人民法院关于贯彻执行《中华人民共和国继承法》若干问题的意见》,第四十七条,继承人放弃继承应当以书面形式向其他继承人表示。用口头方式表示放弃继承，本人承认，或有其它充分证据证明的，也应当认定其有效。
继承问题,遗产继承,《最高人民法院关于贯彻执行《中华人民共和国继承法》若干问题的意见》,第四十八条,在诉讼中，继承人向人民法院以口头方式表示放弃继承的，要制作笔录，由放弃继承的人签名。
继承问题,遗产继承,《最高人民法院关于贯彻执行《中华人民共和国继承法》若干问题的意见》,第四十九条,继承人放弃继承的意思表示，应当在继承开始后、遗产分割前作出。遗产分割后表示放弃的不再是继承权，而是所有权。
继承问题,遗产继承,《最高人民法院关于贯彻执行《中华人民共和国继承法》若干问题的意见》,第五十条,遗产处理前或在诉讼进行中，继承人对放弃继承翻悔的，由人民法院根据其提出的具体理由，决定是否承认。遗产处理后，继承人对放弃继承翻悔的，不予承认。
继承问题,遗产继承,《中华人民共和国继承法》,第十六条,公民可以依照本法规定立遗嘱处分个人财产，并可以指定遗嘱执行人。公民可以立遗嘱将个人财产指定由法定继承人的一人或者数人继承。公民可以立遗嘱将个人财产赠给国家、集体或者法定继承人以外的人。
继承问题,遗产继承,《中华人民共和国继承法》,第十七条,公证遗嘱由遗嘱人经公证机关办理。自书遗嘱由遗嘱人亲笔书写，签名，注明年、月、日。代书遗嘱应当有两个以上见证人在场见证，由其中一人代书，注明年、月、日，并由代书人、其他见证人和遗嘱人签名。以录音形式立的遗嘱，应当有两个以上见证人在场见证。遗嘱人在危急情况下，可以立口头遗嘱。口头遗嘱应当有两个以上见证人在场见证。危急情况解除后，遗嘱人能够用书面或者录音形式立遗嘱的，所立的口头遗嘱无效。
继承问题,遗产继承,《中华人民共和国继承法》,第二十二条,无行为能力人或者限制行为能力人所立的遗嘱无效。遗嘱必须表示遗嘱人的真实意思，受胁迫、欺骗所立的遗嘱无效。伪造的遗嘱无效。遗嘱被篡改的，篡改的内容无效。
继承问题,遗产继承,《最高人民法院关于贯彻执行《中华人民共和国继承法》若干问题的意见》,第三十八条,遗嘱人以遗嘱处分了属于国家、集体或他人所有的财产，遗嘱的这部分，应认定无效。
继承问题,遗产继承,《最高人民法院关于贯彻执行《中华人民共和国继承法》若干问题的意见》,第四十一条,遗嘱人立遗嘱时必须有行为能力。无行为能力人所立的遗嘱，即使其本人后来有了行为能力，仍属无效遗嘱。遗嘱人立遗嘱时有行为能力，后来丧失了行为能力，不影响遗嘱的效力。
社保纠纷,社保待遇,《中华人民共和国社会保险法（2018修正）》,第二条,国家建立基本养老保险、基本医疗保险、工伤保险、失业保险、生育保险等社会保险制度，保障公民在年老、疾病、工伤、失业、生育等情况下依法从国家和社会获得物质帮助的权利。
社保纠纷,社保待遇,《中华人民共和国社会保险法（2018修正）》,第三十五条,用人单位应当按照本单位职工工资总额，根据社会保险经办机构确定的费率缴纳工伤保险费。
社保纠纷,社保待遇,《中华人民共和国劳动法（2018修正）》,第七十二条,社会保险基金按照保险类型确定资金来源，逐步实行社会统筹。用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。
社保纠纷,社保待遇,《中华人民共和国劳动法（2018修正）》,第七十三条,劳动者在下列情形下，依法享受社会保险待遇：（一）退休；（二）患病、负伤；（三）因工伤残或者患职业病；（四）失业；（五）生育。劳动者死亡后，其遗属依法享受遗属津贴。劳动者享受社会保险待遇的条件和标准由法律、法规规定。劳动者享受的社会保险金必须按时足额支付。
社保纠纷,社保待遇,《社会保险费征缴暂行条例》,第四条,缴费单位、缴费个人应当按时足额缴纳社会保险费。征缴的社会保险费纳入社会保险基金，专款专用，任何单位和个人不得挪用。
工伤赔偿,工伤赔偿,《工伤保险条例》,第十四条,"职工有下列情形之一的，应当认定为工伤：
(一)在工作时间和工作场所内，因工作原因受到事故伤害的;
(二)工作时间前后在工作场所内，从事与工作有关的预备性或者收尾性工作受到事故伤害的;
(三)在工作时间和工作场所内，因履行工作职责受到暴力等意外伤害的;
(四)患职业病的;
(五)因工外出期间，由于工作原因受到伤害或者发生事故下落不明的;
(六)在上下班途中，受到非本人主要责任的交通事故或者城市轨道交通、客运轮渡、火车事故伤害的;
(七)法律、行政法规规定应当认定为工伤的其他情形。"
工伤赔偿,工伤赔偿,《工伤保险条例》,第十五条,"职工有下列情形之一的，视同工伤：
(一)在工作时间和工作岗位，突发疾病死亡或者在48小时之内经抢救无效死亡的;
(二)在抢险救灾等维护国家利益、公共利益活动中受到伤害的;
(三)职工原在军队服役，因战、因公负伤致残，已取得革命伤残军人证，到用人单位后旧伤复发的。
职工有前款第(一)项、第(二)项情形的，按照本条例的有关规定享受工伤保险待遇;职工有前款第(三)项情形的，按照本条例的有关规定享受除一次性伤残补助金以外的工伤保险待遇。"
工伤赔偿,工伤赔偿,《工伤保险条例》,第十六条,职工符合本条例第十四条、第十五条的规定，但是有下列情形之一的，不得认定为工伤或者视同工伤：(一)故意犯罪的;(二)醉酒或者吸毒的;(三)自残或者自杀的。
劳动劳务,劳动劳务致损赔偿,《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》,第十三条,为他人无偿提供劳务的帮工人，在从事帮工活动中致人损害的，被帮工人应当承担赔偿责任。被帮工人明确拒绝帮工的，不承担赔偿责任。帮工人存在故意或者重大过失，赔偿权利人请求帮工人和被帮工人承担连带责任的，人民法院应予支持。
劳动劳务,劳动劳务致损赔偿,《中华人民共和国侵权责任法》,第三十四条,用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的补充责任。
劳动劳务,劳动劳务致损赔偿,《中华人民共和国侵权责任法》,第三十五条,个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。提供劳务一方因劳务自己受到损害的，根据双方各自的过错承担相应的责任。
劳动劳务,劳务受损赔偿,《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》,第十四条,帮工人因帮工活动遭受人身损害的，被帮工人应当承担赔偿责任。被帮工人明确拒绝帮工的，不承担赔偿责任；但可以在受益范围内予以适当补偿。帮工人因第三人侵权遭受人身损害的，由第三人承担赔偿责任。第三人不能确定或者没有赔偿能力的，可以由被帮工人予以适当补偿。
劳动劳务,劳务受损赔偿,《中华人民共和国侵权责任法》,第三十五条,个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。提供劳务一方因劳务自己受到损害的，根据双方各自的过错承担相应的责任。
劳动劳务,支付劳动劳务报酬,《中华人民共和国劳动合同法(2012修正)》,第十一条,用人单位未在用工的同时订立书面劳动合同，与劳动者约定的劳动报酬不明确的，新招用的劳动者的劳动报酬按照集体合同规定的标准执行；没有集体合同或者集体合同未规定的，实行同工同酬。
劳动劳务,支付劳动劳务报酬,《中华人民共和国劳动合同法(2012修正)》,第十八条,劳动合同对劳动报酬和劳动条件等标准约定不明确，引发争议的，用人单位与劳动者可以重新协商；协商不成的，适用集体合同规定；没有集体合同或者集体合同未规定劳动报酬的，实行同工同酬；没有集体合同或者集体合同未规定劳动条件等标准的，适用国家有关规定。
劳动劳务,支付劳动劳务报酬,《中华人民共和国劳动法(2018修正)》,第五十条,工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。
劳动劳务,支付劳动劳务报酬,《中华人民共和国劳动合同法(2012修正)》,第六十条,劳务派遣单位应当将劳务派遣协议的内容告知被派遣劳动者。劳务派遣单位不得克扣用工单位按照劳务派遣协议支付给被派遣劳动者的劳动报酬。劳务派遣单位和用工单位不得向被派遣劳动者收取费用。
劳动劳务,支付加班工资,《中华人民共和国劳动法(2018修正)》,第四十四条,下列情形之一的，用人单位应当按照下列标准支付高于劳动者正常工作时间工资的工资报酬：（一）安排劳动者延长工作时间的，支付不低于工资的百分之一百五十的工资报酬；（二）休息日安排劳动者工作又不能安排补休的，支付不低于工资的百分之二百的工资报酬；（三）法定休假日安排劳动者工作的，支付不低于工资的百分之三百的工资报酬。
劳动劳务,经济补偿金或赔偿金,《中华人民共和国劳动合同法(2012修正)》,第三十九条,劳动者有下列情形之一的，用人单位可以解除劳动合同：（一）在试用期间被证明不符合录用条件的；（二）严重违反用人单位的规章制度的；（三）严重失职，营私舞弊，给用人单位造成重大损害的；（四）劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；（五）因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；（六）被依法追究刑事责任的。
劳动劳务,经济补偿金或赔偿金,《中华人民共和国劳动合同法(2012修正)》,第四十条,有下列情形之一的，用人单位提前三十日以书面形式通知劳动者本人或者额外支付劳动者一个月工资后，可以解除劳动合同：（一）劳动者患病或者非因工负伤，在规定的医疗期满后不能从事原工作，也不能从事由用人单位另行安排的工作的；（二）劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的；（三）劳动合同订立时所依据的客观情况发生重大变化，致使劳动合同无法履行，经用人单位与劳动者协商，未能就变更劳动合同内容达成协议的。
劳动劳务,经济补偿金或赔偿金,《中华人民共和国劳动合同法(2012修正)》,第四十一条,有下列情形之一，需要裁减人员二十人以上或者裁减不足二十人但占企业职工总数百分之十以上的，用人单位提前三十日向工会或者全体职工说明情况，听取工会或者职工的意见后，裁减人员方案经向劳动行政部门报告，可以裁减人员：（一）依照企业破产法规定进行重整的；（二）生产经营发生严重困难的；（三）企业转产、重大技术革新或者经营方式调整，经变更劳动合同后，仍需裁减人员的；（四）其他因劳动合同订立时所依据的客观经济情况发生重大变化，致使劳动合同无法履行的。裁减人员时，应当优先留用下列人员：（一）与本单位订立较长期限的固定期限劳动合同的；（二）与本单位订立无固定期限劳动合同的；（三）家庭无其他就业人员，有需要扶养的老人或者未成年人的。用人单位依照本条第一款规定裁减人员，在六个月内重新招用人员的，应当通知被裁减的人员，并在同等条件下优先招用被裁减的人员。
劳动劳务,经济补偿金或赔偿金,《中华人民共和国劳动合同法(2012修正)》,第四十二条,劳动者有下列情形之一的，用人单位不得依照本法第四十条、第四十一条的规定解除劳动合同：（一）从事接触职业病危害作业的劳动者未进行离岗前职业健康检查，或者疑似职业病病人在诊断或者医学观察期间的；（二）在本单位患职业病或者因工负伤并被确认丧失或者部分丧失劳动能力的；（三）患病或者非因工负伤，在规定的医疗期内的；（四）女职工在孕期、产期、哺乳期的；（五）在本单位连续工作满十五年，且距法定退休年龄不足五年的；（六）法律、行政法规规定的其他情形。
劳动劳务,经济补偿金或赔偿金,《中华人民共和国劳动合同法(2012修正)》,第四十六条,有下列情形之一的，用人单位应当向劳动者支付经济补偿：（一）劳动者依照本法第三十八条规定解除劳动合同的；（二）用人单位依照本法第三十六条规定向劳动者提出解除劳动合同并与劳动者协商一致解除劳动合同的；（三）用人单位依照本法第四十条规定解除劳动合同的；（四）用人单位依照本法第四十一条第一款规定解除劳动合同的；（五）除用人单位维持或者提高劳动合同约定条件续订劳动合同，劳动者不同意续订的情形外，依照本法第四十四条第一项规定终止固定期限劳动合同的；（六）依照本法第四十四条第四项、第五项规定终止劳动合同的；（七）法律、行政法规规定的其他情形。
劳动劳务,支付双倍工资,《中华人民共和国劳动合同法(2012修正)》,第十条,建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。
