一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
出租车,服务问题,客运出租汽车驾驶员无正当理由绕道行驶的,《巡游出租汽车经营服务管理规定》第四十八条第（一）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）【拒载、议价、途中甩客或者故意绕道行驶的】；
　　（二）未经乘客同意搭载其他乘客的；
　　（三）不按照规定使用计程计价设备、违规收费的；
　　（四）不按照规定出具相应车费票据的；
　　（五）不按照规定使用巡游出租汽车相关设备的；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。","2019年，驾驶员张某驾驶出租车在机场出租车排队处上客，乘客要去火车站，司机到达目的地后收取车费132元，小票显示36.2公里，等候时间为7分31秒，外加上20元过路费，实付152元，后被乘客投诉至12328，经过核实，最近路线大约28公里，故该车驾驶员张某驾驶出租车违反《杭州市客运出租汽车管理条例》第三十一条第(四)项,第三十七条第(二)项，客运出租汽车驾驶员无正当理由绕道行驶的。根据《杭州市客运出租汽车管理条例》第五十一条第一款第(五)项 处以罚款人民币三佰元整，责令改正。|2019年，驾驶员王某驾驶轿车从火车站载客一名去酒店，乘客未指定行驶路线，司机行驶路线里程为22公里，经查，该路程正常在16公里左右，后乘客投诉至12328。经检查相关证件，并对该车驾驶员王某制作现场笔录后发现：该车驾驶员王某驾驶轿车违反《杭州市客运出租汽车管理条例》第三十一条第(四)项,第三十七条第(二)项，客运出租汽车驾驶员无正当理由绕道行驶的。根据《杭州市客运出租汽车管理条例》第五十一条第一款第(五)项 处以罚款人民币三佰元整，责令改正。",出租车故意绕道行驶以收取超出正常里程的费用的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
出租车,服务问题,客运出租汽车驾驶员无正当理由中断载客服务,《巡游出租汽车经营服务管理规定》第四十八条第（一）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）【拒载、议价、途中甩客或者故意绕道行驶的】；
　　（二）未经乘客同意搭载其他乘客的；
　　（三）不按照规定使用计程计价设备、违规收费的；
　　（四）不按照规定出具相应车费票据的；
　　（五）不按照规定使用巡游出租汽车相关设备的；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。",2019年，行政相对人某客运社驾驶员江某驾驶出租车行驶至公交车站附近，接上一拨乘客，后行驶途中驾驶员以不认识路为由让乘客下车。后被乘客投诉至12328。12328转我处调处。经我处调查后发现：该车驾驶员江某驾驶违反《杭州市客运出租汽车管理条例》第二十五条第(五)项，客运出租汽车驾驶员无正当理由中断载客服务的。根据《杭州市客运出租汽车管理条例》第五十一条第一款第(四)项 处以罚款人民币三佰元整，责令改正。|2019年，王某驾驶甲公司所属出租车，搭载一名乘客，途中驾驶员王某让乘客下车，被乘客通过12328投诉。经负责人立案审批后，调查人员对当事人王某进行了询问，制作了询问笔录，王某承认自己客运出租汽车驾驶员无正当理由中断载客服务的整个事实。根据《杭州市客运出租汽车管理条例》第五十一条第一款第(四)项 处以罚款人民币三佰元整，责令改正。,出租车无正当理由让乘客未达目的地中途下车被投诉的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
出租车,服务问题,客运出租汽车驾驶员无正当理由拒绝载客的,《巡游出租汽车经营服务管理规定》第四十八条第（一）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）【拒载、议价、途中甩客或者故意绕道行驶的】；
　　（二）未经乘客同意搭载其他乘客的；
　　（三）不按照规定使用计程计价设备、违规收费的；
　　（四）不按照规定出具相应车费票据的；
　　（五）不按照规定使用巡游出租汽车相关设备的；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。","2019年，某市道路运输管理局执法人员在12328平台接到投诉，乘客在某地铁站附近打车，出租车驾驶员询问乘客目的地后，以已接单为由未搭载乘客，经查证该理由不成立。调查核实后发现：该车驾驶员张某驾驶出租车违反《杭州市客运出租汽车管理条例》第三十二条第(一)项,第三十二条第(二)项,第三十二条第(三)项,第三十二条第(五)项，客运出租汽车驾驶员无正当理由拒绝载客的。根据《杭州市客运出租汽车管理条例》第五十一条第(二)项 处以罚款人民币三佰元整，责令改正。|2019年，当事人费某驾驶出租车在医院门口遇一乘客询问，驾驶员表示只去机场，被执法人员查获，经调查：该车驾驶员费某驾驶轿车违反《杭州市客运出租汽车管理条例》第三十二条第(一)项,第三十二条第(二)项,第三十二条第(三)项,第三十二条第(五)项，客运出租汽车驾驶员无正当理由拒绝载客的。根据《杭州市客运出租汽车管理条例》第五十一条第(二)项 处以罚款人民币三佰元整，责令改正。",出租车以不去目的地、已接单等理由拒载乘客被投诉的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
出租车,服务问题,客运出租汽车驾驶人员未经乘客同意拼载,《巡游出租汽车经营服务管理规定》第四十八条第（二）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）拒载、议价、途中甩客或者故意绕道行驶的；
　　（二）【未经乘客同意搭载其他乘客的】；
　　（三）不按照规定使用计程计价设备、违规收费的；
　　（四）不按照规定出具相应车费票据的；
　　（五）不按照规定使用巡游出租汽车相关设备的；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。",2018年，某市道路运输管理局执法人员巡查时，发现轿车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该乘客董某制作询问笔录后发现：该车驾驶员江某驾驶轿车在汽车站出租车上客处未经乘客允许强行拼载，其行为违反《浙江省道路运输条例》第二十三条第（五）项，客运出租汽车驾驶人员未经乘客同意拼载。根据《浙江省道路运输条例》第七十五条第（五）项 处以罚款人民币三佰元整。|2018年，甲公司所聘驾驶员李某驾驶出租车，未经乘客同意搭载欲前往另一目的地的乘客，被乘客通过12328投诉。经负责人立案审批后，调查人员对当事人李某进行了询问，制作了询问笔录，李某承认自己客运出租汽车驾驶员未经乘客同意强行搭载其他人员的整个事实。根据《杭州市客运出租汽车管理条例》第五十一条第一款第(六)项 处以罚款人民币三佰元整。,出租车未经乘客允许强行招揽其他客人拼车的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
出租车,收费问题,客运出租汽车驾驶员在营运中不按规定的收费标准收费的,《巡游出租汽车经营服务管理规定》第四十八条第（三）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）拒载、议价、途中甩客或者故意绕道行驶的；
　　（二）未经乘客同意搭载其他乘客的；
　　（三）【不按照规定使用计程计价设备、违规收费的】；
　　（四）不按照规定出具相应车费票据的；
　　（五）不按照规定使用巡游出租汽车相关设备的；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。",2017年，驾驶员冯某驾驶出租车从医院带上一个女乘客前往某地，提前打表，前往接乘客，到达目的地打表76元，实际收费76元，因违反《杭州市客运出租汽车管理条例》第二十一条第(七)项， 被12328投诉。根据《杭州市客运出租汽车管理条例》第三十条第一款第(六)项 处以罚款人民币三佰元整。|2018年，驾驶员周某驾驶出租车，在机场出租车上客处接到一名乘客，到达目的地后实收了120元。经负责人审批，同意立案，对其进行询问，并制作了询问笔录，汪某承认其客运出租汽车驾驶员在营运中不按规定的收费标准收费的事实。根据《杭州市客运出租汽车管理条例》第三十条第一款第(六)项 处以罚款人民币三佰元整。,出租车未按规定打表计价，违规收费的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
出租车,收费问题,客运出租汽车驾驶人员收取运费超过计价器明示金额,《巡游出租汽车经营服务管理规定》第四十八条第（三）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）拒载、议价、途中甩客或者故意绕道行驶的；
　　（二）未经乘客同意搭载其他乘客的；
　　（三）【不按照规定使用计程计价设备、违规收费的】；
　　（四）不按照规定出具相应车费票据的；
　　（五）不按照规定使用巡游出租汽车相关设备的；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。",2018年，甲公司所聘驾驶员汪某驾驶出租车，搭载乘客到达目的地后，打表16元，驾驶员汪某实收20元整。经负责人立案审批后，调查人员对当事人汪某进行了询问，制作了询问笔录，汪某承认自己客运出租汽车驾驶人员收取运费超过计价器明示金额整个事实。根据《浙江省道路运输条例》第七十五条第（五）项 处以罚款人民币三佰元整。|市民翁先生来电反映：其于2019年某日打车，计价表显示是7元，其给司机10元，司机不找钱（称就是这个价），现来电投诉该司机乱收费，望相关部门处理。经调查，驾驶员叶某违反了客运出租汽车驾驶人员收取运费超过计价器明示金额。在出租车专项整治期间，驾驶员叶某违反了客运出租汽车驾驶人员收取运费超过计价器明示金额。根据《浙江省道路运输条例》第七十五条第（五）项 处以罚款人民币伍佰元整。,出租车行驶期间打表计价，但实际收费高于计价器的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
出租车,收费问题,客运出租汽车驾驶人员未按照规定使用客运出租汽车计价器,《巡游出租汽车经营服务管理规定》第四十八条第（三）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）拒载、议价、途中甩客或者故意绕道行驶的；
　　（二）未经乘客同意搭载其他乘客的；
　　（三）【不按照规定使用计程计价设备、违规收费的】；
　　（四）不按照规定出具相应车费票据的；
　　（五）不按照规定使用巡游出租汽车相关设备的；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。","主要违法事实: 2022年，某县交通运输局执法人员通过县文明办暗访视频进行了取证：发现徐某驾驶出租车在商业广场搭载一名乘客送至中医院，乘客上车后，未翻下出租车计价器进行计价收费，到达目的地后直接收取乘客运费7元。
行政处罚的种类和依据: 依据《浙江省道路运输条例》第七十五条第（五）项的规定,罚款人民币三佰元整。|主要违法事实：经批准立案。执法人员依法取得郑某身份证复印件、道路运输证复印件、服务资格证复印件、电子数据、对车辆的询问笔录等相关证据。
行政处罚的种类和依据: 依据《浙江省道路运输条例》第七十五条第（五）项的规定,责令改正并罚款人民币三佰元整。",出租车未翻下计价器进行计价收费，直接报价的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
出租车,其他问题,客运出租汽车驾驶员未按规定使用车载设施设备的,《巡游出租汽车经营服务管理规定》第四十八条第（五）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）拒载、议价、途中甩客或者故意绕道行驶的；
　　（二）未经乘客同意搭载其他乘客的；
　　（三）不按照规定使用计程计价设备、违规收费的；
　　（四）不按照规定出具相应车费票据的；
　　（五）【不按照规定使用巡游出租汽车相关设备的】；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。","主要违法事实: 2021年，某市交通运输局执法人员通过监控：发现一辆出租车在火车站有违章嫌疑，通过后台系统调取车载监控视频时发现车载无录像，通知所属公司告知驾驶员前往维修点修理车载设施设备。当事驾驶员孙某接到通知后表示平时很少检查车载设备，但在看的过程中发现车载视频2路监控不清楚。之后前往维修点维修，经维修师傅调试后恢复。
行政处罚的种类和依据: 依据《杭州市客运出租汽车管理条例》第五十条第(二)项的规定,责令改正并罚款人民币壹佰元整。|2018年，某市道路运输管理局执法人员在火车站巡查时，发现一辆出租车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员李某制作现场笔录后发现：该车驾驶员李某驾驶出租车在火车站上客1人，司机谈好车费100元，一直未按规定使用计价器，随后被现场运管人员查获，故该车驾驶员李某违反《杭州市客运出租汽车管理条例》第三十一条第(二)项，客运出租汽车驾驶员未按规定使用车载设施设备的。根据《杭州市客运出租汽车管理条例》第五十条第(二)项 处以罚款人民币壹佰元整。",出租车未按规定使用车载监控、计价器等设备的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
货运,运营问题,货运经营者不按规定维护和检测运输车辆,《中华人民共和国道路运输条例》第七十条第一款,"违反本条例的规定，【客运经营者、货运经营者不按规定维护和检测运输车辆的】，由县级以上地方人民政府交通运输主管部门责令改正，处1000元以上5000元以下的罚款。
　　违反本条例的规定，客运经营者、货运经营者擅自改装已取得车辆营运证的车辆的，由县级以上地方人民政府交通运输主管部门责令改正，处5000元以上2万元以下的罚款。",2018年，某市道路运输管理局执法人员在开发区运管处发现一辆普通货车有违法嫌疑，于是联系该车所属公司接受检查。经检查相关证件，并对该公司委托人员刘某制作询问笔录后发现：甲公司的这辆普通货车未及时参与综合性能检测，该车综合性能检测报告已到期，违反《中华人民共和国道路运输条例》第三十条，货运经营者不按规定维护和检测运输车辆。根据《中华人民共和国道路运输条例》第七十条第一款 处以罚款人民币壹仟元整。|2018年，某市道路运输管理局执法人员在开发区运管处发现一辆自卸货车有违法嫌疑，于是联系该车所在企业派人接受检查。经检查相关证件，并对受委托人唐某制作询问笔录后发现：乙公司所有车辆的其中一辆自卸货车未按规定进行检测，其年审有效期已截止，综合性能检测报告已过期，违反《中华人民共和国道路运输条例》第三十条，货运经营者不按规定维护和检测运输车辆。根据《中华人民共和国道路运输条例》第七十条第一款 处以罚款人民币壹仟元整。,货运车辆综合性能检测报告已过期未及时维护检修的。,责令改正|罚款,处1000元以上5000元以下的罚款,暂无,,
货运,运营问题,货运经营者不按照规定携带车辆营运证,《中华人民共和国道路运输条例》第六十八条|《道路货物运输及站场管理规定》第五十九条第二款,"违反本条例的规定，【客运经营者、货运经营者不按照规定携带车辆营运证的】，由县级以上地方人民政府交通运输主管部门责令改正，处警告或者20元以上200元以下的罚款。|违反本规定，取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的，由县级以上道路运输管理机构责令改正，处3000元以上1万元以下的罚款。
　　违反本规定，【道路货物运输经营者不按照规定携带《道路运输证》的】，由县级以上道路运输管理机构责令改正，处警告或者20元以上200元以下的罚款。",2018年，某市道路运输管理局执法人员巡查时，发现一辆厢式货车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员徐某制作现场笔录后发现：该车驾驶员徐某驾驶厢式货车违反《中华人民共和国道路运输条例》第三十三条、《浙江省道路运输条例》第三十二条第一款、《道路货物运输及站场管理规定》第二十一条，货运经营者不按照规定携带车辆营运证。根据《中华人民共和国道路运输条例》第六十八条、《浙江省道路运输条例》第七十八条、《道路货物运输及站场管理规定》第五十八条第二款 处以罚款人民币伍拾元整。|2018年，某市道路运输管理局执法人员在巡查时，发现一辆厢式货车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员王某制作现场笔录后发现：该车驾驶员驾驶厢式货车违反《中华人民共和国道路运输条例》第三十三条、《浙江省道路运输条例》第三十二条第一款、《道路货物运输及站场管理规定》第二十一条，货运经营者不按照规定携带车辆营运证。根据《中华人民共和国道路运输条例》第六十八条、《浙江省道路运输条例》第七十八条、《道路货物运输及站场管理规定》第五十八条第二款 处以罚款人民币壹佰元整。,货运车辆未随车携带道路运输证、从业资格证等证件的。,责令改正|警告|罚款,处警告或者20元以上200元以下的罚款,暂无,,
货运,资质问题,未取得道路危险货物运输许可，擅自从事道路危险货物运输经营,《中华人民共和国道路运输条例》第六十三条|《道路危险货物运输管理规定》第五十六条第(一)项,"违反本条例的规定，【未取得道路运输经营许可，擅自从事道路运输经营的】，由县级以上地方人民政府交通运输主管部门责令停止经营；有违法所得的，没收违法所得，处违法所得2倍以上10倍以下的罚款；没有违法所得或者违法所得不足2万元的，处3万元以上10万元以下的罚款；构成犯罪的，依法追究刑事责任。|违反本规定，有下列情形之一的，由县级以上道路运输管理机构责令停止运输经营，有违法所得的，没收违法所得，处违法所得2倍以上10倍以下的罚款；没有违法所得或者违法所得不足2万元的，处3万元以上10万元以下的罚款；构成犯罪的，依法追究刑事责任：
　　（一）【未取得道路危险货物运输许可，擅自从事道路危险货物运输的】；
　　（二）使用失效、伪造、变造、被注销等无效道路危险货物运输许可证件从事道路危险货物运输的；
　　（三）超越许可事项，从事道路危险货物运输的；
　　（四）非经营性道路危险货物运输单位从事道路危险货物运输经营的。","主要违法事实: 2022年，甲公司驾驶员史某驾驶轻型厢式货车，甲公司未取得道路危险货物运输许可证，该辆轻型厢式货车未取得危险货物运输道路运输证。
行政处罚的种类和依据: 依据《中华人民共和国道路运输条例》第六十三条、《道路危险货物运输管理规定》第五十六条的规定,罚款人民币三万元整。|主要违法事实: 2021年，某区交通运输局行政执法人员进行了检查，现场人员是李某，车辆所有人是乙公司。执法人员根据现场情况制作了《现场笔录》。经批准立案，执法人员依法对李某进行了询问并制作了《询问笔录》，同时还取得现场笔录、现场照片、查询记录、当事人驾驶证复印件、行驶证复印件、李某身份证复印件、驳货现场照片、查询记录、情况说明等相关证据。
行政处罚的种类和依据: 依据《中华人民共和国道路运输条例》第六十三条、《道路危险货物运输管理规定》第五十六条第(一)项的规定,责令停止运输经营，罚款人民币壹万捌仟元整。",无证经营危险货物运输的。,责令停止经营|没收违法所得|罚款|追究刑事责任,有违法所得的，没收违法所得，处违法所得2倍以上10倍以下的罚款；没有违法所得或者违法所得不足2万元的，处3万元以上10万元以下的罚款,【非法经营罪】,《中华人民共和国刑法》第二百二十五条,"违反国家规定，有下列非法经营行为之一，扰乱市场秩序，情节严重的，处五年以下有期徒刑或者拘役，并处或者单处违法所得一倍以上五倍以下罚金；情节特别严重的，处五年以上有期徒刑，并处违法所得一倍以上五倍以下罚金或者没收财产：
　　（一）未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的；
　　（二）买卖进出口许可证、进出口原产地证明以及其他法律、行政法规规定的经营许可证或者批准文件的；
　　（三）未经国家有关主管部门批准非法经营证券、期货、保险业务的，或者非法从事资金支付结算业务的；
　　（四）【其他严重扰乱市场秩序的非法经营行为】。"
货运,其他问题,道路运输企业未按规定上传道路运输车辆动态信息,《道路运输车辆动态监督管理办法》第三十五条第（一）项,"违反本办法的规定，道路运输企业有下列情形之一的，由县级以上道路运输管理机构责令改正。拒不改正的，处1000元以上3000元以下罚款：
　　（一）道路运输企业未使用符合标准的监控平台、监控平台未接入联网联控系统、【未按规定上传道路运输车辆动态信息的】；
　　（二）未建立或者未有效执行交通违法动态信息处理制度、对驾驶员交通违法处理率低于90%的；
　　（三）未按规定配备专职监控人员，或者监控人员未有效履行监控职责的。","2018年，某市道路运输管理局执法人员前往甲公司进行监督检查，发现该公司存在8辆车未上传车辆动态信息，经查由于该公司两名GPS监控员工作失职，未及时发现车辆动态数据未上传的情况，甲公司因违反《道路运输车辆动态监督管理办法》第十五条，道路运输企业未按规定上传道路运输车辆动态信息。根据《道路运输车辆动态监督管理办法》第三十六条第（一）项 处以罚款人民币三仟元整。|主要违法事实: 执法人员经调查核实，乙公司未发现事故车辆的GPS离线情况，未及时纠正上传车辆动态监控信息，未按规定教育处理动态监控人员。执法人员依法取得动态监控员询问笔录原件、GPS离线监控截图原件、动态监控记录1原件、动态监控记录2原件等相关证据。
行政处罚的种类和依据: 依据《道路运输车辆动态监督管理办法》第三十六条第（一）项的规定,责令改正并罚款人民币伍仟元整。",货运车辆未及时上传车辆动态监控信息，未按规定教育处理动态监控人员的。,责令改正|罚款,拒不改正的，处1000元以上3000元以下罚款,暂无,,
货运,其他问题,道路运输企业未有效执行交通违法动态信息处理制度,《道路运输车辆动态监督管理办法》第三十五条第（二）项,"违反本办法的规定，道路运输企业有下列情形之一的，由县级以上道路运输管理机构责令改正。拒不改正的，处1000元以上3000元以下罚款：
　　（一）道路运输企业未使用符合标准的监控平台、监控平台未接入联网联控系统、未按规定上传道路运输车辆动态信息的；
　　（二）【未建立或者未有效执行交通违法动态信息处理制度】、对驾驶员交通违法处理率低于90%的；
　　（三）未按规定配备专职监控人员，或者监控人员未有效履行监控职责的。",2018年，甲公司所属的客车存在严重超速现象；几辆客车存在严重疲劳驾驶现象；某客车凌晨2-5时运行次数7，但是接驳记录条数只有3，接驳记录次数少于凌晨2-5时接驳次数，该公司制定了车辆动态监控制度，但是未有效执行，因违反《道路运输车辆动态监督管理办法》第三十六条第（二）项，道路运输企业未有效执行交通违法动态信息处理制度被我执法人员查获。根据《道路运输车辆动态监督管理办法》第三十六条第（二）项 处以罚款人民币捌仟元整。|2020年，某区道路运输管理处执法人员依职权到乙公司实施道路运输监督检查，发现乙公司动态监控记录不全，抽查动态监控数据发现4月份共有8辆车存在超速行驶情况，违反《道路运输车辆动态监督管理办法》第三十六条第（二）项，道路运输企业未有效执行交通违法动态信息处理制度。根据《道路运输车辆动态监督管理办法》第三十六条第（二）项 处以罚款人民币三仟伍佰元整。,货运车辆动态记录监控不全，未及时处理交通违法信息。,责令改正|罚款,拒不改正的，处1000元以上3000元以下罚款,暂无,,
货运,其他问题,道路运输经营者使用卫星定位装置出现故障不能保持在线的运输车辆从事经营活动,《道路运输车辆动态监督管理办法》第三十六条,违反本办法的规定，【道路运输经营者使用卫星定位装置不能保持在线的运输车辆从事经营活动的】，由县级以上道路运输管理机构对其进行教育并责令改正，拒不改正或者改正后再次发生同类违反规定情形的，处200元以上800元以下罚款,2018年，通过综合监管平台，发现某车有电子路单，无GPS轨迹，执法人员检查该企业后发现：该车驾驶员违反《道路运输车辆动态监督管理办法》第二十七条第二款，道路运输经营者使用卫星定位装置出现故障不能保持在线的运输车辆从事经营活动。根据《道路运输车辆动态监督管理办法》第三十七条 处以罚款人民币捌佰元整。|2018年，通过综合监管平台显示某车有电子路单无卫星定位数据，经查：该车驾驶员潘某违反《道路运输车辆动态监督管理办法》第十五条，道路运输企业未按规定上传道路运输车辆动态信息。根据《道路运输车辆动态监督管理办法》第三十七条 处以罚款人民币捌佰元整。,定位装置故障，不能即时传递货运车辆定位信息的。,责令改正|罚款,拒不改正或者改正后再次发生同类违反规定情形的，处200元以上800元以下罚款,暂无,,
货运,资质问题,道路货物运输经营者使用无道路运输证的车辆参加货物运输,《道路货物运输及站场管理规定》第五十九条第一款,"违反本规定，【取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的】，由县级以上道路运输管理机构责令改正，处3000元以上1万元以下的罚款。
　　违反本规定，道路货物运输经营者不按照规定携带《道路运输证》的，由县级以上道路运输管理机构责令改正，处警告或者20元以上200元以下的罚款。","主要违法事实: 2021年，某市交通运输局行政执法人员进行了检查，现场人员是李某，车辆所有人是甲公司。执法人员根据现场情况制作了《现场笔录》，执法人员依法对李某进行了询问并制作了《询问笔录》，同时还取得现场照片、现场笔录、法人身份证原件、驾驶证原件、行驶证原件、营业执照原件、道路运输经营许可证原件、从业资格证原件、授权委托书复印件、授权委托人身份证原件等相关证据。
行政处罚的种类和依据: 依据《道路货物运输及站场管理规定》第五十九条第一款的规定,责令改正并罚款人民币陆仟贰佰元整。|主要违法事实: 2022年，某区交通运输局行政执法人员进行了检查，现场人员是杨某，车辆所有人是乙公司，该车装运混凝土，执法人员发现该车有道路货物运输经营者使用无道路运输证的车辆参加货物运输的违法嫌疑，依法就近引导至进行调查处理。执法人员根据现场情况制作了《现场笔录》。执法人员依法对邵某进行了询问并制作了《询问笔录》，同时还取得行驶证原件、营业执照复印件、道路运输经营许可证复印件、邵某身份证复印件、驾驶员身份证复印件、驾驶员驾驶证复印件、从业资格证复印件、现场笔录等相关证据。
行政处罚的种类和依据: 依据《道路货物运输及站场管理规定》第五十九条第一款的规定,责令改正并罚款人民币三仟伍佰元整。",货运车辆未办理《道路运输证》即上岗运输的。,责令改正|罚款,处3000元以上1万元以下的罚款,暂无,,
网约车,资质问题,未取得经营许可，擅自从事网约车经营活动,《网络预约出租汽车经营服务管理暂行办法》第三十四条第（一）项,"违反本规定，有下列行为之一的，由县级以上出租汽车行政主管部门责令改正，予以警告，并处以10000元以上30000元以下罚款；构成犯罪的，依法追究刑事责任：
　　（一）【未取得经营许可，擅自从事或者变相从事网约车经营活动的】；
　　（二）伪造、变造或者使用伪造、变造、失效的《网络预约出租汽车运输证》《网络预约出租汽车驾驶员证》从事网约车经营活动的。","2018年，甲公司存在提供服务车辆未取得《网约出租车运输证》行为。当事人杨某驾驶轿车通过其公司手机应用软件接单，为站点拼车单。到达后通过软件收取车费39.62元。该车辆未取得《网约出租车运输证》。经负责人立案审批后，调查人员对案件进行调查。根据《杭州市客运出租汽车管理条例》第四十八条第（一）项 处以罚款人民币贰万元整。|主要违法事实: 2022年，某县交通运输执法人员在巡查时，发现吴某驾驶小型客车载有2名乘客，经驾驶员陈述乘客在打车软件发布打车信息他主动到乘客位置，经检查该车驾驶员吴某无法出示出租汽车驾驶员《从业资格证》，无法出示小型轿车的《网络预约出租汽车运输证》。经进一步调查小型轿车所有人是吴某，吴某未取得出租汽车驾驶员《从业资格证》，小型轿车未取得《网络预约出租汽车运输证》，吴某未取得经营许可，使用网约车软件接送乘客，收取运费人民币7元，从事网约车经营。
行政处罚的种类和依据: 依据《网络预约出租汽车经营服务管理暂行办法》第三十四条第（一）项的规定,责令改正并警告，罚款人民币壹万元整，没收违法所得柒元。",网约车未取得许可无证经营的。,责令改正|警告|罚款|追究刑事责任,并处以10000元以上30000元以下罚款,【非法经营罪】,《中华人民共和国刑法》第二百二十五条,"违反国家规定，有下列非法经营行为之一，扰乱市场秩序，情节严重的，处五年以下有期徒刑或者拘役，并处或者单处违法所得一倍以上五倍以下罚金；情节特别严重的，处五年以上有期徒刑，并处违法所得一倍以上五倍以下罚金或者没收财产：
　　（一）未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的；
　　（二）买卖进出口许可证、进出口原产地证明以及其他法律、行政法规规定的经营许可证或者批准文件的；
　　（三）未经国家有关主管部门批准非法经营证券、期货、保险业务的，或者非法从事资金支付结算业务的；
　　（四）【其他严重扰乱市场秩序的非法经营行为】。"
