热门标签,问题,回答
子女抚养,子女抚养,"【抚养人】
法定抚养人是法律明确规定对孩子有抚养义务的人：
1.父母对子女有抚养教育的义务；
2.有负担能力的祖父母、外祖父母、对于父母已经死亡或父母无力抚养的未成年的孙子女，外孙子女，有抚养的义务。
3.有负担能力的兄、姐，对于父母已经死亡或父母无力抚养的未成年的弟、妹，有扶养的义务。
【抚养费】
1.子女抚育费的数额可根据子女的实际需要、父母双方的负担能力和当地的实际生活水平确定有固定收入的，抚育费一般可按其月总收入的百分之二十至三十的比例给付。负担两个以上子女抚育费的，比例可适当提高，但一般不得超过月总收入的百分之五十。无固定收入的，抚育费的数额可依据当年总收入或同行业平均收入，参照上述比例确定。 
2.抚育费应定期给付，有条件的可一次性给付。 
3.对一方无经济收入或者下落不明的，可用其财物折抵子女抚育费。 
4.父母双方可以协议子女随一方生活并由抚养方负担子女全部抚育费。但经查实，抚养方的抚养能力明显不能保障子女所需费用，影响子女健康成长的，不予准许。 
5.抚育费的给付期限，一般至子女十八周岁为止。十六周岁以上不满十八周岁，以其劳动收入为主要生活来源，并能维持当地一般生活水平的，父母可停止给付抚育费。 
6.子女要求增加抚育费有下列情形之一，父或母有给付能力的，应予支持。 
（1）原定抚育费数额不足以维持当地实际生活水平的； 
（2）因子女患病、上学，实际需要已超过原定数额的； 
（3）有其他正当理由应当增加的。"
工伤赔偿,工伤赔偿,"【工伤认定】
1.工伤认定材料:工伤认定申请表；与用人单位存在劳动关系(包括事实劳动关系)的证明材料；医疗诊断证明或者职业病诊断证明书(或者职业病诊断鉴定书)。（1）工伤认定申请表应当包括事故发生的时间、地点、原因以及职工伤害程度等基本情况。职业病患者应写明在何单位从事何种有害作业，起止时间，确诊结果。
（2）申请人提出工伤认定申请时，应当提交受伤害职工的居民身份证；医疗机构出具的职工受伤害时初诊诊断证明书，或者依法承担职业病诊断的医疗机构出具的职业病诊断证明书(或者职业病诊断鉴定书)；职工受伤害或者诊断患职业病时与用人单位之间的劳动、聘用合同或者其他存在劳动、人事关系的证明。
2、工伤申请程序：
（1）自职工事故伤害发生之日或者被诊断、鉴定为职业病之日起30日内由所在单位向参与工伤保险所在地市、县（区）社会保险行政部门提出工伤认定申请。
（2）用人单位未按规定提出工伤认定申请的，工伤职工或者其近亲属、工会组织在事故伤害发生之日或者被诊断、鉴定为职业病之日起1年内，可以直接向参与工伤保险所在地市、县（区）社会保险行政部门提出工伤认定申请。
【责任承担】
1.职工发生工伤，由其工作单位承担工伤保险责任。
2.在劳务派遣中，用工单位给被派遣劳动者造成损害的，劳务派遣单位与用工单位承担连带责任。
3.当存在违法转包、分包的情形时，用工单位承担职工的工伤保险责任不以是否存在劳动关系为前提。用工单位违反法律、法规规定将承包业务转包、分包给不具备用工主体资格的组织或者自然人，职工发生工伤事故时，应由违法转包、分包的用工单位承担工伤保险责任。"
社保纠纷,社保纠纷,"【用人单位不缴纳社保的处理】
用人单位未替劳动者办理或足额缴纳，劳动者可以：
1.先与用人单位进行协商，让用人单位办理社保或补缴社会保险金，并就造成的损失给予赔偿。
2.向劳动行政部门举报。若与用人单位协商不成，可以向用人单位所在地的劳动部门举报，由劳动部门责令其限期缴纳；逾期不缴的，可以加收滞纳金。拒不缴纳的，劳动保障行政部门或者税务机关申请人民法院依法强制征缴。
3.因用人单位未缴纳社会保险金造成损失的，可以向仲裁机构申请仲裁或向法院提起诉讼。
4.解除劳动合同并要求单位支付经济补偿金。"
建设工程,建设工程,"【工程价款支付主体】
1.建设工程竣工验收合格后，发包人应当按照约定支付价款，并接收该建设工程。
2.总承包人或者勘察、设计、施工承包人经发包人同意，可以将自己承包的部分工作交由第三人完成。第三人就其完成的工作成果与总承包人或者勘察、设计、施工承包人向发包人承担连带责任。建设工程经竣工验收合格后，总承包人无正当理由未向第三人支付钱款，第三人有权向发包人请求支付钱款。"
公司合伙,公司合伙,"【责任承担】
《民法典》规定，合伙的债务，由合伙人按照出资比例或者协议的约定，以各自的财产承担清偿责任。《合伙企业法》亦规定，合伙企业的亏损分担，按照合伙协议的约定办理;合伙协议未约定或者约定不明确的，由合伙人协商决定;协商不成的，由合伙人按照实缴出资比例分担;无法确定出资比例的，由合伙人平均分担。
合伙人退伙，其他合伙人应当与该退伙人按照退伙时的合伙企业财产状况进行结算，退还退伙人的财产份额。退伙人对基于其退伙前的原因发生的合伙企业债务应承担责任。合伙人退伙时，合伙企业财产少于合伙企业债务的，退伙人对合伙企业的亏损分担，按照合伙协议的约定办理；合伙协议未约定或者约定不明确的，由合伙人协商决定；协商不成的，由合伙人按照实缴出资比例分担；无法确定出资比例的，由合伙人平均分担。
【退伙】
1.合伙协议约定合伙期限的，在合伙企业存续期间，有下列情形之一的，合伙人可以退伙：（1）合伙协议约定的退伙事由出现；（2）经全体合伙人一致同意；（3）发生合伙人难以继续参加合伙的事由；（4）其他合伙人严重违反合伙协议约定的义务。
2.合伙协议未约定合伙期限的，合伙人在不给合伙企业事务执行造成不利影响的情况下，可以退伙，但应当提前三十日通知其他合伙人。"
个税问题,个税问题,"【个税缴纳范围】
应当缴纳个税的个人所得包括：（1）工资、薪金所得；（2）劳务报酬所得；（3）稿酬所得；（4）特许权使用费所得；（5）经营所得；（6）利息、股息、红利所得；（7）财产租赁所得；（8）财产转让所得；（9）偶然所得。"
行政案件,行政案件,"【对行政行为不服的处理方式】
1.行政相对人可以自知道该具体行政行为之日起六十日内提出行政复议申请；但是法律规定的申请期限超过六十日的除外。
2.对属于人民法院受案范围的行政案件，公民、法人或者其他组织可以先向上一级行政机关或者法律、法规规定的行政机关申请复议，对复议不服的，再向人民法院提起诉讼；也可以直接向人民法院提起诉讼。
3.法律、法规规定应当先向行政机关申请复议，对复议不服再向人民法院提起诉讼的，依照法律、法规的规定。申请人不服复议决定的，可以在收到复议决定书之日起十五日内向人民法院提起诉讼。复议机关逾期不作决定的，申请人可以在复议期满之日起十五日内向人民法院提起诉讼。"
知识产权,知识产权,"【侵犯知识产权的行为】
1.常见的侵犯著作权行为：
（1）未经著作权人许可，发表其作品的；
（2）未经合作作者许可，将与他人合作创作的作品当作自己单独创作的作品发表的；
（3）没有参加创作，为谋取个人名利，在他人作品上署名的；
（4）歪曲、篡改他人作品的；
（5）剽窃他人作品的；
（6）未经著作权人许可，以展览、摄制视听作品的方法使用作品，或者以改编、翻译、注释等方式使用作品的；
（7）使用他人作品，应当支付报酬而未支付的；
（8）未经视听作品、计算机软件、录音录像制品的著作权人、表演者或者录音录像制作者许可，出租其作品或者录音录像制品的原件或者复制件的；
（9）未经出版者许可，使用其出版的图书、期刊的版式设计的；
（10）未经表演者许可，从现场直播或者公开传送其现场表演，或者录制其表演的。
2.常见的侵犯注册商标专用权行为：
（1）未经商标注册人的许可，在同一种商品上使用与其注册商标相同的商标的；
（2）未经商标注册人的许可，在同一种商品上使用与其注册商标近似的商标，或者在类似商品上使用与其注册商标相同或者近似的商标，容易导致混淆的；
（3）销售侵犯注册商标专用权的商品的；
（4）伪造、擅自制造他人注册商标标识或者销售伪造、擅自制造的注册商标标识的；
（5）未经商标注册人同意，更换其注册商标并将该更换商标的商品又投入市场的；
（6）故意为侵犯他人商标专用权行为提供便利条件，帮助他人实施侵犯商标专用权行为的；
（7）给他人的注册商标专用权造成其他损害的。
3.常见的侵犯注册专利专用权的行为：
（1）未经许可，在产品或者产品包装上标注他人的专利号或销售该产品；
（2）假冒专利；
（3）在产品说明书等材料中将未被授予专利的称为专利，将专利申请称为专利，或者未经许可使用他人的专利号，使公众将所涉及的技术或者设计误认为是专利技术或者专利设计；
（4）伪造或者变造专利证书、专利文件或者专利申请文件；
（5）未经专利权人许可，实施其专利；
（6）明知有关产品系专门用于实施专利的材料、设备、零部件、中间物等，未经专利权人许可，为生产经营目的将该产品提供给他人；
（8）给他人的注册专利专用权造成其他损害的。
【侵犯知识产权的法律后果】
侵犯他人知识产权的，应当承担损害赔偿责任，故意侵害他人知识产权，情节严重的，被侵权人还有权请求相应的惩罚性赔偿。"
争议解决,争议解决,"【争议解决】
1.双方发生合同纠纷，可以先协商解决，也可以向当地人民调解委员会申请调解；若协商不成，约定了争议解决条款的，也可以根据合同约定进行仲裁或诉讼；若合同没有约定争议解决条款，可以向合同履行地、被告住所地人民法院起诉。
2.双方发生劳动纠纷，优先协商解决，也可以请工会或者第三方共同与用人单位协商；若协商不成，可以向劳动合同履行地或者用人单位所在地的劳动争议仲裁委员会申请仲裁，对仲裁结果不服的，可以向人民法院起诉。"
,年收入20万元，税要交多少,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,年收入20万，税要交多少,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,收入20万，税要交多少,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,收入20万，税要收多少,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,年收入20万元，税要交多少?,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,年收入20万，税要交多少?,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,收入20万，税要交多少?,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,收入20万，税要收多少?,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,年收入20万元，税要交多少？,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,年收入20万，税要交多少？,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,收入20万，税要交多少？,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
,收入20万，税要收多少？,个人所得税起征点为5000元。个税税率为：工资范围在1-5000元之间的，税率为0%；在5000-8000元之间的，税率为3%；在8000-17000元之间的，包括17000元，适用个人所得税税率为10%；在17000-30000元之间的，包括30000元，适用个人所得税税率为20%；工资范围在30000-40000元之间的，税率为25%；工资范围在40000-60000元之间的，税率为30%；工资范围在60000-85000元之间的，税率为35%；工资范围在85000元以上的，税率为45%。
