热门标签,问题,回答,,,
行政案件,我公司员工工伤认定结果下来了，被认定工伤，我司不认可怎么办？,用人单位对工伤认定结论不服，可以申请行政复议或提起行政诉讼。申请行政复议的时效为两个月，向人民法院提起行政诉讼的时效为六个月。,,,
知识产权,知识产权被侵权怎么办？,"1.发警告函；对于侵权行为和后果不是很严重，涉嫌侵权企业不是太大，权利人可以以发警告函的形式提醒对方，要求其停止侵权。
2.提起诉讼。提起诉讼可以促进和谈，请求获得赔偿。",,,
刑事辩护,公司虚开增值税发票会被认定为为犯罪吗？,"虚开增值税专用发票，处三年以下有期徒刑或者拘役，并处二万元以上二十万元以下罚金;虚开的税款数额较大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处五万元以上五十万元以下罚金;虚开的税款数额巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处五万元以上五十万元以下罚金或者没收财产。
单位犯本条规定之罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，处三年以下有期徒刑或者拘役;虚开的税款数额较大或者有其他严重情节的，处三年以上十年以下有期徒刑;虚开的税款数额巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑。
虚开增值税专用发票是指有为他人虚开、为自己虚开、让他人为自己虚开、介绍他人虚开行为之一的。",,,
争议解决,合同有争议了应该怎么解决？,双方可以先进行协商，解决争议。若协商不成的，若合同约定了争议解决条款，可以根据合同约定进行仲裁或诉讼；若合同没有约定争议解决条款，可以向合同履行地、被告人住所地人民法院起诉。,,,
执行,如何申请执行？,准备好申请执行的一套书面材料，然后递交到法院立案庭，就可以启动强制执行程序。书面材料包括：执行申请书、生效的法律文书、生效证明、主体材料复印件、财产线索等。,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
