文档名,文本内容,schema,审核意见,审核结果
fwzl4,租金标准及支付方式:年付(每年¥:120000元)，房屋押金3.6万元,押金,租赁合同通常约定承租人支付相当于1-3个月租金的押金给出租人，押金的数额建议控制在合同总金额的20%以内。
fwzu5,根据《中华人民共和国合同法》及相关法律规定，甲方双方经平等协商，就租赁事宜签订本合同。,鉴于条款,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。"
fwzu5,租期70年，自2022年7月1日起至2072年6月30日止。,租赁期限,租赁期限过长，建议修改。租赁期限不得超过二十年。超过二十年的，超过部分无效。
fwzu5,若甲方在乙方没有违反本合同的情况下提前解除合同或租给他人，视为出租方违约，负责赔偿违约金30000元。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
fwzu5,若乙方在甲方没有违反本合同的情况下提前解除合同，视为乙方违约，乙方负责赔偿违约金30000元。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
fwzl1,⽉租⾦⼈民币为30元/平⽅，计900元/⽉。共计年租⾦10800元整,租金,,通过
fwzl1,,住房租赁企业,,不审核
fwzl1,"合同期内若承租⼈提前终⽌合同，出租⼈⽆须退还全年租⾦及租房押⾦。若出租⼈提前终⽌合同，承租⼈⽆须⽀付全年租⾦。
房屋租赁合同期满或因承租⼈违约本合同第九条时，承租⼈应在三⼗天内将租房⽆条件归还出租⼈，超过三⼗天后，出租⼈有权将租房室内⼀切财物作⽆主处理，承租⼈逾期交付租⾦的，除应及时如数补交外，每逾期⼀⽇，则承租⼈须按⽇租⾦的三倍⽀付滞纳⾦。",违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。,不通过
fwzl1,本合同在履⾏过程中发⽣的争议，由双⽅当事⼈协商解决，也可由有关部门调解，协商或调解不成的，按下列⼆种⽅式解决：(⼀)，提交余杭区仲裁委员会仲裁;(⼆)，依法向房屋所在地⼈民法院起诉。,争议解决,,通过
fwzl1,"承租⼈不按约定交付租⾦三⼗天以上;承租⼈所⽋各项费⽤在⼈民币叁仟元以上;未经出租⼈书⾯同意，擅⾃改变租房⽤途﹑装修及转租。承租
⼈在租房期间进⾏违法活动。",出租人解除,,通过
fwzl1,"第九条，有下列情形的，应解除合同：
承租⼈不按约定交付租⾦三⼗天以上;承租⼈所⽋各项费⽤在⼈民币叁仟元以上;未经出租⼈书⾯同意，擅⾃改变租房⽤途﹑装修及转租。",转租,,通过
fwzl2,"承租人有下列情形之一的，出租人可以终止合同、收回房屋∶
1、承租人擅自将房屋转租、转让或转借的；",转租,,通过
fwzl2,修缮房屋是出租人的义务。出租人对房屋及其设备应每个月（或年）认真检查、修缮一次，以保障承租人居住安全和正常使用。出租人维修房屋时，承租人应积极协助，不得阻挠施工。出租人如确实无力修缮，可同承租人协商合修，届时承租人付出修缮费用即用以冲抵租金或由出租人分期偿还。,房屋维修责任,,通过
fwzl2,"1、出租方未按前述合同条款的规定向承租人交付合乎要求的房屋的，负责赔偿1万元。
2、出租方未按时交付出租房屋供承租人使用的，负责偿付违约金1万元。
3、出租方未按时（或未按要求）修缮出租房屋的，负责偿付违约金3000元；如因此造成承租方人员人身受到伤害或财物受毁的，负责赔偿损失。
4、承租方逾期交付租金的，除仍应及时如数补交外，应支付未支付房租的50%的违约金。",违约责任,若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。,不通过
fwzl2,"承租人有下列情形之一的，出租人可以终止合同、收回房屋∶
1、承租人擅自将房屋转租、转让或转借的；
2、承租人利用承租房屋进行非法活动，损害公共利益的；
3、承租人拖欠租金累计达3个月的。",出租人解除,,通过
fwzl2,,住房租赁企业,,不审核
fwzl3,⽉租⾦5000元，租金共120000元（大写拾贰万元整）,租金,,通过
fwzl3,"甲⼄双⽅按规定的税率和标准交纳房产租赁税费，交纳⽅式按下列第1款执⾏：
1.有关税法和镇政发(90)第34号⽂件规定⽐例由甲、⼄⽅各⾃负担;",租期内其他费用,,通过
fwzl3,"甲方应按时交付符合租赁目的的房屋，如甲方无法按时交付房屋，应支付乙方按照本合同租赁金额的40%计算的违约金，如造成乙方损失，甲方应承担赔偿责任。
乙方应按时支付租金，如乙方未按时支付租金，每逾期一天应支付甲方按未支付租金的1%计算的违约金。",违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。,不通过
fwzl3,"1.擅⾃将房屋转租、分租、转让、转借、联营、⼊股或与他⼈调剂交换的;
2.利⽤承租房屋进⾏⾮法活动，损害公共利益的;",出租人解除,,通过
fwzl3,,住房租赁企业,,不审核
fwzl3,"⼄⽅有下列情形之⼀的，甲⽅可以终⽌合同，收回房屋：
1.擅⾃将房屋转租、分租、转让、转借、联营、⼊股或与他⼈调剂交换的;",转租,,通过
fwzl4,每年¥:120000元,租金,,通过
fwzl4,"1、对于房屋及其附属物品、设备设施因自然属性或合理使用而导致的损耗，乙方应及时通知甲方修复。甲方应在接到乙方通知后进行维修。
2、因乙方保管不当或不合理使用，致使房屋及其附属物品、设备设施发生损坏或故障的，乙方应负责维修或承担赔偿责任。",房屋维修责任,,通过
fwzl4,本出租房为王玉华所有，无其他关系人,房屋权属,,通过
fwzl4,"争议处理方式
1、本合同受中华人民共和国法律管辖并按其进行解释。
2、本合同在履行过程中发生的争议，由双方当事人协商解决，也可由有关部门调解;协商或调解不成的，依法向房屋所在地人民法院起诉。",争议解决,,通过
fwzl4,,住房租赁企业,,不审核
fwzl5,出租房房产证(宅基地)编号:4582505687365396669,房屋权属,,通过
fwzl5,每月租金为人民币10000元整(壹万元整),租金,,通过
fwzl5,乙方承担水电费、电视收视费、小区卫生费、宽带费、液化气费。,租期内其他费用,,通过
fwzl5,"1、若甲方在乙方没有违反本合同的情况下提前解除合同或租给他人，视为出租方违约，负责赔偿违约金30000元。
2、若乙方在甲方没有违反本合同的情况下提前解除合同，视为乙方违约，乙方负责赔偿违约金30000元。",违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。,不通过
fwzl5,乙方应在合同到期日之前将房屋恢复原状，归还甲方。,租赁物返还,,通过
fwzl5,,住房租赁企业,,不审核
fwzl2,山东省娜市朝阳梧州路E座755003号,甲方地址,,通过
fwzl2,13345453678,甲方联系方式,,通过
fwzl2,本房屋无产权证，系在承包地上建造违章建筑，但符合居住要求，乙方对该事实明知，乙方承诺放弃向甲方主张合同无效的权利。,房屋权属,将违法违章建筑出租的租赁合同无效，该约定为无效条款，无效合同自始无效。,不通过
fwzl2,租赁期共70年，以租代售，出租方从2021年1月1日起将出租房屋交付承租方使用，至2071年1月1日收回。,租赁起止日期,,通过
fwzl2,每月3000元,租金,,通过
fwzl3,坐落在北京市东市滨城六安街L座307451号的合法房屋1栋3间，建筑⾯积100平⽅⽶、使⽤⾯积100平⽅⽶，类型民用住宅，结构等级A，完损等级F,房屋基本信息,,通过
fwzl3,从2020年1⽉1⽇起将出租房屋交付⼄⽅使⽤，至2021年12⽉31⽇收回。,租赁起止日期,,通过
fwzl4,现金、银行汇款或微信网银转账,支付方式,,通过
fwzl4,水电费、电视收视费、小区卫生费、宽带费、液化气费由乙方自付。,租期内其他费用,,通过
fwzl5,房屋坐落地址:陕西省昆明市南湖蔡路b座885028号，建筑面积100平方米。,房屋基本信息,,通过
